
# ALGORITHM_SETUP
# algorithm: hc
# algorithm(class): aitoa.algorithms.HillClimber
# END_ALGORITHM_SETUP

# BEGIN_LOG
# fbest;consumedFEs;consumedTimeMS
1810;1;0
1804;5;0
1760;6;0
1688;7;0
1639;9;0
1631;20;0
1611;28;0
1569;37;0
1548;38;0
1494;39;0
1481;45;0
1474;51;0
1466;61;0
1437;99;0
1436;109;0
1422;121;0
1413;169;0
1362;193;0
1354;212;1
1353;273;1
1348;359;1
1344;366;1
1339;404;1
1335;408;1
1318;492;1
1310;501;1
1263;549;1
1251;634;2
1249;646;2
1248;736;2
1218;839;2
1213;921;2
1212;1415;4
1211;1589;4
1210;1965;5
1209;2102;6
1206;2126;6
1202;2175;6
1200;2239;6
1194;2500;7
1186;2533;7
1184;2594;7
1183;2649;7
1180;2722;7
1179;2791;7
1174;2879;8
1166;2963;8
1164;3032;8
1159;3068;8
1157;3124;8
1154;4135;11
1152;5177;14
1151;5655;15
1143;5732;15
1139;5748;15
1137;6277;17
1133;6734;18
1132;7171;19
1123;7699;20
1115;7914;21
1113;8964;24
1105;9453;25
1092;9545;26
1091;15783;43
1086;32380;88
# END_OF_LOG

# BEGIN_SETUP
# SEARCH_SPACE: jssp:int[150]:la24:aitoa.examples.jssp.JSSPSearchSpace
# SEARCH_SPACE(class): aitoa.examples.jssp.JSSPSearchSpace
# NULLARY_OP: uniform
# NULLARY_OP(class): aitoa.examples.jssp.JSSPNullaryOperator
# UNARY_OP: 1swap
# UNARY_OP(class): aitoa.examples.jssp.JSSPUnaryOperator1Swap
# BINARY_OP: null
# TERNARY_OP: null
# SOLUTION_SPACE: jssp:gantt:la24:aitoa.examples.jssp.JSSPSolutionSpace
# SOLUTION_SPACE(class): aitoa.examples.jssp.JSSPSolutionSpace
# REPRESENTATION_MAPPING: jssp:int[]-to-Gantt:aitoa.examples.jssp.JSSPRepresentationMapping
# REPRESENTATION_MAPPING(class): aitoa.examples.jssp.JSSPRepresentationMapping
# OBJECTIVE_FUNCTION: la24
# OBJECTIVE_FUNCTION(class): aitoa.examples.jssp.JSSPMakespanObjectiveFunction
# MAX_FES: 9223372036854775807
# MAX_TIME: 180000
# GOAL_F: -Infinity
# RANDOM_SEED: 0x2b7c6a3ef60c5ec3
# END_SETUP
# BEGIN_SYSTEM
# COMPUTER_MANUFACTURER: Dell Inc.
# COMPUTER_MODEL: Vostro 3480
# CPU_FAMILY: 6
# CPU_FREQUENCY_HZ: 1800000000
# CPU_ID: AFC1FBFF008006EB
