
# ALGORITHM_SETUP
# algorithm: hc
# algorithm(class): aitoa.algorithms.HillClimber
# END_ALGORITHM_SETUP

# BEGIN_LOG
# fbest;consumedFEs;consumedTimeMS
1223;1;0
1198;4;0
1178;6;0
1155;12;0
1150;13;1
1135;14;1
1132;15;1
1115;19;1
1111;20;1
1102;22;1
1069;32;1
1062;35;1
1039;45;1
1029;86;1
1024;88;1
1006;92;1
999;96;1
984;119;1
979;127;1
972;145;1
971;151;1
953;201;1
947;229;1
945;312;1
943;370;1
935;393;2
932;403;2
931;427;2
917;490;2
913;525;2
905;623;2
904;695;2
900;779;3
892;785;3
889;896;3
876;925;3
872;956;3
866;964;3
862;1091;3
857;1130;4
854;1178;4
853;1191;4
851;1321;4
850;1377;4
848;1603;5
844;1856;6
835;3065;9
833;3799;11
832;7460;22
830;7486;22
825;9457;27
823;9702;28
822;11313;32
817;11470;33
813;11525;33
811;12333;35
807;12461;36
806;12822;37
805;12967;37
803;13302;38
802;13525;39
801;17340;50
799;17774;51
795;17994;52
793;19553;56
789;19569;56
787;19677;56
779;19818;57
778;20205;58
777;229777;638
776;231347;642
775;231729;644
774;231812;644
773;10841808;29736
770;10843266;29740
768;10844754;29744
761;10846285;29748
760;10847172;29751
759;10847313;29751
758;10847601;29752
# END_OF_LOG

# BEGIN_SETUP
# SEARCH_SPACE: jssp:int[300]:abz7:aitoa.examples.jssp.JSSPSearchSpace
# SEARCH_SPACE(class): aitoa.examples.jssp.JSSPSearchSpace
# NULLARY_OP: uniform
# NULLARY_OP(class): aitoa.examples.jssp.JSSPNullaryOperator
# UNARY_OP: nswap
# UNARY_OP(class): aitoa.examples.jssp.JSSPUnaryOperatorNSwap
# BINARY_OP: null
# TERNARY_OP: null
# SOLUTION_SPACE: jssp:gantt:abz7:aitoa.examples.jssp.JSSPSolutionSpace
# SOLUTION_SPACE(class): aitoa.examples.jssp.JSSPSolutionSpace
# REPRESENTATION_MAPPING: jssp:int[]-to-Gantt:aitoa.examples.jssp.JSSPRepresentationMapping
# REPRESENTATION_MAPPING(class): aitoa.examples.jssp.JSSPRepresentationMapping
# OBJECTIVE_FUNCTION: abz7
# OBJECTIVE_FUNCTION(class): aitoa.examples.jssp.JSSPMakespanObjectiveFunction
# MAX_FES: 9223372036854775807
# MAX_TIME: 180000
# GOAL_F: -Infinity
# RANDOM_SEED: 0xb461441cc3169745
# END_SETUP
# BEGIN_SYSTEM
