
# ALGORITHM_SETUP
# algorithm: hc
# algorithm(class): aitoa.algorithms.HillClimber
# END_ALGORITHM_SETUP

# BEGIN_LOG
# fbest;consumedFEs;consumedTimeMS
1822;1;0
1753;3;0
1745;10;0
1694;11;0
1663;19;0
1637;22;0
1586;23;0
1551;26;0
1550;53;0
1502;70;0
1501;76;0
1483;86;0
1478;88;0
1462;106;0
1446;115;0
1432;117;0
1420;133;0
1415;155;0
1386;161;0
1346;173;0
1343;184;0
1320;185;0
1314;192;0
1305;194;0
1304;253;0
1266;267;0
1261;348;1
1249;414;1
1243;449;1
1235;593;1
1231;646;1
1230;665;2
1229;719;2
1224;803;2
1209;903;2
1188;911;2
1182;917;2
1168;972;2
1164;1034;3
1146;1087;3
1132;1373;3
1130;1414;4
1121;1432;4
1118;1770;4
1117;2573;7
1115;3272;9
1111;3836;10
1100;3839;10
1097;3984;10
1093;4111;12
1090;4122;12
1077;4414;13
1076;4966;14
1074;6046;17
1073;6339;18
1069;6377;18
1056;6394;18
1055;8229;23
1052;8242;23
1050;8287;23
1048;8603;24
1042;9219;26
1032;12762;36
1029;66576;187
1027;45282461;123916
1024;45283699;123919
1023;45283986;123920
1021;45308385;123985
1017;45308536;123986
1016;53300173;145953
# END_OF_LOG

# BEGIN_SETUP
# SEARCH_SPACE: jssp:int[150]:la24:aitoa.examples.jssp.JSSPSearchSpace
# SEARCH_SPACE(class): aitoa.examples.jssp.JSSPSearchSpace
# NULLARY_OP: uniform
# NULLARY_OP(class): aitoa.examples.jssp.JSSPNullaryOperator
# UNARY_OP: nswap
# UNARY_OP(class): aitoa.examples.jssp.JSSPUnaryOperatorNSwap
# BINARY_OP: null
# TERNARY_OP: null
# SOLUTION_SPACE: jssp:gantt:la24:aitoa.examples.jssp.JSSPSolutionSpace
# SOLUTION_SPACE(class): aitoa.examples.jssp.JSSPSolutionSpace
# REPRESENTATION_MAPPING: jssp:int[]-to-Gantt:aitoa.examples.jssp.JSSPRepresentationMapping
# REPRESENTATION_MAPPING(class): aitoa.examples.jssp.JSSPRepresentationMapping
# OBJECTIVE_FUNCTION: la24
# OBJECTIVE_FUNCTION(class): aitoa.examples.jssp.JSSPMakespanObjectiveFunction
# MAX_FES: 9223372036854775807
# MAX_TIME: 180000
# GOAL_F: -Infinity
