
# ALGORITHM_SETUP
# algorithm: hc
# algorithm(class): aitoa.algorithms.HillClimber
# END_ALGORITHM_SETUP

# BEGIN_LOG
# fbest;consumedFEs;consumedTimeMS
6564;1;0
6537;3;0
6511;8;0
6498;10;0
6401;11;0
6392;14;0
6311;17;0
6302;18;0
6187;21;0
6175;26;0
6123;28;0
6103;34;0
5943;51;0
5933;52;0
5819;74;1
5812;81;1
5779;90;1
5764;93;1
5721;95;1
5684;97;1
5656;100;1
5648;101;1
5635;126;1
5592;127;1
5558;135;1
5554;142;1
5527;154;1
5518;175;1
5488;178;2
5484;182;2
5469;186;2
5460;197;2
5443;198;2
5437;200;2
5416;205;2
5390;207;2
5370;210;2
5348;212;2
5329;222;2
5303;228;2
5290;237;2
5261;252;2
5260;271;2
5219;278;2
5218;318;3
5160;323;3
5151;331;3
5142;347;3
5138;355;3
5105;379;3
5089;388;3
5070;396;3
5066;398;3
5061;412;3
5058;413;3
5037;428;4
5031;430;4
5000;434;4
4989;445;4
4988;467;4
4959;490;4
4939;501;4
4930;528;4
4914;546;5
4891;560;5
4881;627;5
4869;676;6
4865;691;6
4863;718;6
4856;753;6
4849;766;6
4847;778;7
4797;807;7
4794;813;7
4786;840;7
4781;905;8
4776;960;8
4774;970;8
4765;1017;9
4764;1038;9
4758;1119;9
4716;1123;9
4714;1147;10
4701;1173;10
4675;1195;10
4661;1196;10
4650;1227;10
4642;1339;11
4628;1429;12
4615;1499;13
4612;1507;13
4608;1582;13
4585;1599;13
4575;1601;13
4561;1672;14
4556;1674;14
4527;1688;14
4521;1728;14
4511;1730;14
4484;1743;15
4480;1798;15
4476;1822;15
4473;1844;15
4469;1879;16
4459;1880;16
4446;1890;16
4441;1944;16
4437;2013;17
4434;2233;19
4432;2660;22
4430;2912;24
4429;2923;24
4426;3027;25
4425;3196;27
4417;3231;27
4405;3318;28
4403;3358;28
4402;3365;28
4394;3456;29
4391;3500;29
4369;3516;29
4365;3678;31
4361;3822;32
4358;3895;32
4356;3969;33
4355;5363;45
4351;5600;47
4347;21859;184
4344;21954;185
4342;21970;185
4339;22545;190
4334;22549;190
4330;22604;190
4328;23158;195
4326;24633;208
4325;26784;227
4323;27424;232
4314;28828;244
4313;29011;246
4310;30040;255
4307;30091;255
4296;30147;256
4295;30863;262
4286;30934;262
4277;31172;265
4275;31486;267
4270;31602;268
4261;31691;269
4254;31967;271
4250;31981;272
4249;32071;272
4243;32133;273
4239;32147;273
4237;32530;276
4228;33223;282
4225;33449;284
4224;35576;303
4222;37126;316
4208;37230;317
4207;2695909;22662
4206;2696043;22663
4204;2696115;22664
4203;2696210;22665
4201;2699927;22695
4199;2700303;22699
4196;2707615;22761
4195;2708018;22765
4194;2708042;22765
4189;2708649;22770
4181;2708699;22771
4180;2708724;22771
4175;2708890;22772
4174;2709215;22775
4169;2709264;22775
4164;2710192;22783
4162;2710357;22785
4161;2710437;22786
4157;2710785;22789
4155;2711139;22792
4153;2712167;22801
4150;2713180;22809
4148;2713806;22815
4146;2716264;22836
4140;2718629;22857
4139;2731741;22967
4137;2733881;22985
4132;2734807;22992
4129;2734894;22993
4127;2735290;22996
4108;2739120;23028
4107;9343301;78056
4106;9343694;78059
4101;9345046;78071
4098;9346809;78085
4095;15136254;126468
4094;15141095;126508
4090;15141969;126515
4083;15151284;126593
4082;15152658;126604
4078;15155165;126625
4077;15155398;126627
4076;15155461;126627
4075;15159848;126664
4072;15180671;126837
4071;15182842;126855
4070;15184449;126868
4064;15217537;127145
4062;15238933;127325
4060;15244196;127368
4059;15244754;127373
4057;15245649;127380
4056;15245672;127381
4055;15248349;127403
4049;15248468;127404
4047;15248546;127404
4044;15249171;127410
4040;15250524;127421
4035;15250599;127422
4031;15366482;128384
4029;15366573;128385
4027;15372019;128430
4025;15372414;128434
4022;15373279;128441
4020;15374271;128449
4019;15386453;128550
4018;15387054;128555
4017;15387242;128557
4015;15387479;128559
4008;15388013;128563
4005;15392640;128603
4003;15392750;128604
4002;15392991;128606
3996;15393834;128613
3993;15395577;128628
3992;15395758;128630
3991;15397515;128645
3988;15398829;128656
3987;15398930;128657
3986;15408557;128737
3977;15408987;128741
3973;15413122;128775
3967;15413280;128777
3966;15455181;129125
3957;15455958;129131
3956;17211464;143903
3955;17221831;143992
3952;17222045;143994
3950;17222336;143997
3949;17237078;144119
3945;17237599;144124
3944;17240876;144151
3943;17241936;144160
3940;17241948;144160
3939;17242017;144160
3937;17243777;144175
3932;17244131;144178
3931;17270743;144399
3928;17278953;144467
3927;17280836;144483
3926;18923822;158173
3920;18928013;158208
3914;18929571;158221
3911;18929826;158223
3910;18931580;158238
3909;18931803;158240
3907;18934058;158258
3906;18937103;158284
3903;18937105;158284
3902;18937282;158285
3900;18937471;158287
3898;18937549;158287
3894;18944000;158341
3893;18944051;158341
3892;18947899;158373
3889;18948022;158374
3885;18950557;158395
3884;18950661;158396
3883;18950801;158397
3882;18952055;158408
3881;18954814;158431
3877;18958262;158459
3872;18975252;158600
