
# ALGORITHM_SETUP
# algorithm: hc
# algorithm(class): aitoa.algorithms.HillClimber
# END_ALGORITHM_SETUP

# BEGIN_LOG
# fbest;consumedFEs;consumedTimeMS
1977;1;0
1931;2;0
1869;5;0
1812;12;0
1811;25;0
1806;31;0
1784;34;0
1781;37;0
1757;40;0
1755;48;0
1745;62;0
1733;63;0
1728;102;0
1714;112;0
1702;116;0
1693;126;0
1662;129;0
1659;134;1
1652;157;1
1642;178;1
1641;201;1
1634;203;1
1624;213;1
1612;220;1
1603;250;1
1588;254;1
1586;283;2
1577;317;2
1558;335;2
1551;342;2
1526;352;2
1518;355;2
1512;358;2
1497;367;2
1491;369;2
1483;374;2
1472;397;2
1462;400;2
1459;407;2
1457;422;2
1454;1214;8
1450;1248;8
1430;1286;8
1428;1299;8
1424;1305;8
1422;1308;8
1416;1425;9
1412;1426;9
1399;1694;11
1394;1702;11
1387;1731;11
1378;1750;11
1375;1933;13
1374;1945;13
1356;2203;14
1345;2531;17
1338;2548;17
1333;2599;17
1327;2675;18
1326;2701;18
1323;2792;18
1321;2847;19
1320;3004;20
1313;3008;20
1311;3613;24
1310;3652;24
1308;3726;25
1306;16381;112
1305;16883;115
1300;16965;116
1297;17106;117
1292;17251;118
1288;17793;122
1286;18299;125
1283;18433;126
1271;18564;127
1268;18863;129
1261;19203;131
1259;19260;132
1258;19336;132
1254;19881;136
1253;20224;139
1250;22856;157
1248;22884;157
1247;24120;166
1242;24202;166
1241;24227;167
1239;25623;176
1235;26109;180
1234;26432;182
1232;27018;186
1229;27331;188
1224;27574;190
1222;27888;192
1221;31560;218
1215;31593;218
1213;31617;218
1208;31638;218
1204;32022;221
1200;32667;226
1198;32729;226
1197;32765;226
1190;33333;230
1189;688276;4718
1187;688498;4719
1186;688577;4720
1185;4879321;33161
1183;4881853;33178
1176;4888893;33225
1175;4889215;33227
1174;4894010;33259
1172;4895445;33269
1166;15881190;107471
1165;15882387;107479
1164;15884141;107491
1163;15884189;107491
