
# ALGORITHM_SETUP
# algorithm: hc_rs_16384
# algorithm(class): aitoa.algorithms.HillClimberWithRestarts
# failsBeforeRestart: 16384
# failsBeforeRestartStrategy: 16384
# END_ALGORITHM_SETUP

# BEGIN_LOG
# fbest;consumedFEs;consumedTimeMS
1324;1;0
1307;2;0
1296;5;0
1286;7;0
1235;8;0
1223;9;0
1208;10;0
1185;22;0
1149;26;0
1141;27;0
1114;28;0
1088;33;1
1084;42;1
1074;43;1
1057;46;1
1053;61;1
1052;70;1
1016;82;1
1006;88;1
996;96;1
990;102;1
977;103;1
962;124;1
935;137;1
914;141;1
913;186;1
896;242;2
894;257;2
893;318;2
888;333;2
886;508;3
885;669;4
883;711;4
877;760;4
876;768;4
862;777;4
859;952;5
856;960;5
854;995;5
853;1425;7
847;1459;8
845;2182;11
842;2184;11
837;2225;11
831;2231;12
829;2302;12
817;2440;13
815;2566;13
814;2891;15
812;2923;15
811;3938;20
810;4007;20
808;4769;24
806;4982;25
804;5688;29
803;5735;29
802;6053;31
801;6274;32
796;6437;33
794;6465;33
793;6587;33
791;22079;106
790;24552;119
788;24686;119
787;24712;120
783;29307;143
781;29345;143
780;29406;143
768;31078;152
767;34482;169
766;34499;169
763;34593;169
761;35216;172
757;36247;178
754;37196;182
748;41181;203
747;41417;204
746;3199114;16110
745;3199680;16113
744;3200419;16116
741;3201948;16124
740;8152000;40973
739;8152444;40975
738;8153507;40980
734;8153866;40982
733;8154454;40985
# END_OF_LOG

# BEGIN_SETUP
# SEARCH_SPACE: jssp:int[300]:abz7:aitoa.examples.jssp.JSSPSearchSpace
# SEARCH_SPACE(class): aitoa.examples.jssp.JSSPSearchSpace
# NULLARY_OP: uniform
# NULLARY_OP(class): aitoa.examples.jssp.JSSPNullaryOperator
# UNARY_OP: 1swap
# UNARY_OP(class): aitoa.examples.jssp.JSSPUnaryOperator1Swap
# BINARY_OP: null
# TERNARY_OP: null
# SOLUTION_SPACE: jssp:gantt:abz7:aitoa.examples.jssp.JSSPSolutionSpace
# SOLUTION_SPACE(class): aitoa.examples.jssp.JSSPSolutionSpace
# REPRESENTATION_MAPPING: jssp:int[]-to-Gantt:aitoa.examples.jssp.JSSPRepresentationMapping
# REPRESENTATION_MAPPING(class): aitoa.examples.jssp.JSSPRepresentationMapping
# OBJECTIVE_FUNCTION: abz7
# OBJECTIVE_FUNCTION(class): aitoa.examples.jssp.JSSPMakespanObjectiveFunction
# MAX_FES: 9223372036854775807
# MAX_TIME: 180000
# GOAL_F: -Infinity
# RANDOM_SEED: 0xa2860de5af8b61d5
# END_SETUP
# BEGIN_SYSTEM
# COMPUTER_MANUFACTURER: Dell Inc.
# COMPUTER_MODEL: Vostro 3480
# CPU_FAMILY: 6
# CPU_FREQUENCY_HZ: 1800000000
# CPU_ID: AFC1FBFF008006EB
# CPU_IDENTIFIER: Intel64 Family 6 Model 142 Stepping 11
# CPU_IS_64_BIT: true
# CPU_LOGICAL_CORES: 8
# CPU_MODEL: 142
# CPU_NAME: Intel(R) Core(TM) i7-8565U CPU @ 1.80GHz
# CPU_PHYSICAL_CORES: 4
# CPU_PHYSICAL_SLOTS: 1
# CPU_VENDOR: GenuineIntel
# GPU_NAME: Advanced Micro Devices, Inc. [AMD/ATI] Jet PRO [Radeon R5 M230 / R7 M260DX / Radeon 520 Mobile]
# GPU_PCI_DEVICE_ID: 6665
# GPU_PCI_VENDOR_ID: 1002
# JAVA_SPECIFICATION_NAME: Java Platform API Specification
# JAVA_SPECIFICATION_VENDOR: Oracle Corporation
# JAVA_SPECIFICATION_VERSION: 13
# JAVA_VENDOR: Private Build
# JAVA_VERSION: 13
# JAVA_VM_NAME: OpenJDK 64-Bit Server VM
# JAVA_VM_VENDOR: Private Build
# JAVA_VM_VERSION: 13+33-Ubuntu-1
# MAINBOARD_MANUFACTURER: Dell Inc.
# MAINBOARD_MODEL: 0KTK89
# MAINBOARD_VERSION: A00
# MEMORY_PAGE_SIZE: 4096
# MEMORY_TOTAL_BYTES: 16662446080
# NET_DOMAIN_NAME: laptop
# NET_HOST_NAME: laptop
# OS_BITS: 64
# OS_BUILD: 5.3.0-29-generic
# OS_CODENAME: Eoan Ermine
# OS_FAMILY: Ubuntu
# OS_MANUFACTURER: GNU/Linux
# OS_VERSION: 19.10
# PROCESS_COMMAND_LINE: java -classpath ./binaries/aitoa-code-0.8.33-full.jar aitoa.examples.jssp.JSSPExperiment ./results 7
# PROCESS_ID: 31229
# SESSION_START_DATE_TIME: 2020-02-22T22:26:16.843941Z
