
# ALGORITHM_SETUP
# algorithm: hc_rs_16384
# algorithm(class): aitoa.algorithms.HillClimberWithRestarts
# failsBeforeRestart: 16384
# failsBeforeRestartStrategy: 16384
# END_ALGORITHM_SETUP

# BEGIN_LOG
# fbest;consumedFEs;consumedTimeMS
1780;1;0
1717;2;0
1682;3;0
1631;7;0
1602;9;0
1517;37;0
1512;55;0
1506;57;0
1494;59;0
1448;84;0
1404;99;0
1356;135;0
1351;159;0
1345;177;0
1330;207;0
1320;220;0
1316;224;0
1309;259;1
1303;270;1
1301;326;1
1288;339;1
1279;377;1
1276;379;1
1274;465;1
1242;497;1
1241;662;1
1240;1249;2
1239;1269;2
1222;1315;2
1191;1690;2
1190;1739;2
1170;1776;3
1164;1867;3
1163;1900;3
1158;2119;3
1157;2130;3
1156;2204;3
1148;2225;3
1138;5475;8
1136;6960;10
1129;6978;10
1115;7204;10
1111;7313;10
1095;7534;11
1087;7672;12
1079;8140;12
1067;130222;176
1065;131384;177
1062;131476;177
1060;131717;178
1056;177367;240
1046;177374;240
1044;181511;246
1043;181634;246
1039;181676;246
1032;181789;246
1024;182916;248
1021;185199;251
1014;264138;359
1012;431528;583
1007;432505;585
1005;432631;585
1001;434177;587
998;544193;737
996;544331;738
994;544508;738
987;546787;741
984;20789282;27860
983;20794521;27867
979;20795016;27868
976;20795053;27868
# END_OF_LOG

# BEGIN_SETUP
# SEARCH_SPACE: jssp:int[150]:la24:aitoa.examples.jssp.JSSPSearchSpace
# SEARCH_SPACE(class): aitoa.examples.jssp.JSSPSearchSpace
# NULLARY_OP: uniform
# NULLARY_OP(class): aitoa.examples.jssp.JSSPNullaryOperator
# UNARY_OP: 1swap
# UNARY_OP(class): aitoa.examples.jssp.JSSPUnaryOperator1Swap
# BINARY_OP: null
# TERNARY_OP: null
# SOLUTION_SPACE: jssp:gantt:la24:aitoa.examples.jssp.JSSPSolutionSpace
# SOLUTION_SPACE(class): aitoa.examples.jssp.JSSPSolutionSpace
# REPRESENTATION_MAPPING: jssp:int[]-to-Gantt:aitoa.examples.jssp.JSSPRepresentationMapping
# REPRESENTATION_MAPPING(class): aitoa.examples.jssp.JSSPRepresentationMapping
# OBJECTIVE_FUNCTION: la24
# OBJECTIVE_FUNCTION(class): aitoa.examples.jssp.JSSPMakespanObjectiveFunction
# MAX_FES: 9223372036854775807
# MAX_TIME: 180000
# GOAL_F: -Infinity
# RANDOM_SEED: 0x07f47389e9e3c9d7
# END_SETUP
# BEGIN_SYSTEM
# COMPUTER_MANUFACTURER: Dell Inc.
# COMPUTER_MODEL: Vostro 3480
# CPU_FAMILY: 6
# CPU_FREQUENCY_HZ: 1800000000
# CPU_ID: AFC1FBFF008006EB
# CPU_IDENTIFIER: Intel64 Family 6 Model 142 Stepping 11
