
# ALGORITHM_SETUP
# algorithm: hc_rs_16384
# algorithm(class): aitoa.algorithms.HillClimberWithRestarts
# failsBeforeRestart: 16384
# failsBeforeRestartStrategy: 16384
# END_ALGORITHM_SETUP

# BEGIN_LOG
# fbest;consumedFEs;consumedTimeMS
6206;1;0
6160;4;0
6149;10;0
6132;13;0
6126;17;0
6094;21;0
6080;27;0
6053;33;0
6018;34;1
6005;37;1
5942;47;1
5870;49;1
5869;51;1
5865;53;1
5786;55;1
5784;58;1
5780;66;1
5755;71;1
5742;75;1
5706;76;1
5678;77;1
5637;78;1
5636;80;1
5590;82;1
5559;85;1
5531;87;1
5496;89;1
5454;94;1
5453;99;1
5439;101;1
5422;107;1
5394;118;1
5351;128;1
5329;133;1
5323;152;1
5308;153;1
5296;154;1
5273;156;1
5259;158;2
5249;160;2
5244;175;2
5235;180;2
5203;194;2
5180;216;2
5174;221;2
5172;229;2
5168;234;2
5165;241;2
5152;267;2
5146;279;2
5140;318;2
5139;324;3
5119;332;3
5073;384;3
5072;392;3
5071;408;3
5017;422;3
4971;430;3
4964;455;4
4949;457;4
4948;492;4
4940;517;4
4907;523;4
4861;524;4
4857;542;4
4848;570;5
4845;644;5
4841;721;6
4839;760;6
4833;771;6
4815;792;6
4812;831;7
4799;850;7
4794;870;7
4792;876;7
4789;900;7
4785;921;8
4769;934;8
4766;937;8
4749;957;8
4746;1031;9
4741;1062;9
4737;1085;9
4735;1138;9
4724;1157;10
4721;1191;10
4719;1323;11
4717;1404;12
4715;1835;15
4711;1867;16
4700;1899;16
4696;1915;16
4689;2074;17
4685;2088;17
4675;2122;18
4672;2133;18
4656;2255;19
4652;2970;25
4626;3127;26
4604;3147;26
4594;3212;27
4592;3229;27
4587;3450;29
4586;3840;32
4575;3995;33
4574;4418;37
4570;4443;37
4564;4763;40
4560;4779;40
4558;4871;41
4557;4902;41
4550;5009;42
4546;5219;43
4529;5439;44
4527;5936;47
4517;6037;47
4516;6599;50
4513;6605;50
4510;6708;50
4507;6712;50
4502;6747;50
4498;7029;51
4487;7109;52
4484;7300;53
4482;7416;53
4479;7444;53
4476;7589;54
4472;10998;69
4471;11130;70
4470;22000;120
4469;22244;122
4464;22303;122
