
# ALGORITHM_SETUP
# algorithm: hc_rs_16384
# algorithm(class): aitoa.algorithms.HillClimberWithRestarts
# failsBeforeRestart: 16384
# failsBeforeRestartStrategy: 16384
# END_ALGORITHM_SETUP

# BEGIN_LOG
# fbest;consumedFEs;consumedTimeMS
2128;1;0
2114;4;0
2062;6;0
1988;9;0
1901;10;0
1897;13;0
1884;14;0
1882;25;0
1860;30;0
1855;32;0
1852;34;0
1847;35;0
1800;36;0
1719;39;0
1696;44;0
1692;48;0
1649;62;0
1640;68;0
1633;73;1
1585;86;1
1582;95;1
1581;101;1
1573;119;1
1553;120;1
1549;160;1
1544;165;1
1539;181;1
1530;193;1
1527;292;2
1521;301;2
1520;311;2
1519;318;2
1489;321;2
1482;389;3
1469;420;3
1460;468;3
1449;515;3
1436;526;4
1432;533;4
1419;536;4
1418;540;4
1402;546;4
1398;583;4
1397;651;4
1395;677;5
1390;737;5
1387;804;5
1386;846;6
1385;858;6
1367;913;6
1366;1173;8
1364;1198;8
1363;1201;8
1359;1216;8
1358;1229;8
1354;1280;9
1346;1355;9
1344;1515;10
1342;1541;10
1336;1549;10
1334;1723;11
1330;1781;12
1329;1846;12
1326;1963;13
1323;1975;13
1320;2061;14
1308;2097;14
1306;2410;16
1291;2422;16
1290;2547;17
1288;2556;17
1283;2802;19
1275;2821;19
1271;2884;19
1266;2953;20
1257;3113;21
1253;3826;25
1251;4346;29
1243;4838;32
1241;4965;33
1240;5202;35
1233;5928;39
1232;5976;40
1231;6211;41
1228;6416;43
1227;8110;54
1221;8137;54
1220;8923;60
1215;9194;62
1214;9308;63
1212;9343;63
1206;9613;65
1205;9692;65
1203;9895;67
1201;10874;73
1199;11233;76
1195;11249;76
1193;12291;83
1190;12574;85
1186;12885;87
1185;13121;89
1184;13274;90
1182;14172;96
1175;14356;97
1174;15353;104
1172;16492;112
1170;17747;121
1167;18092;123
1165;241220;1636
1164;241249;1636
1162;242036;1641
1161;242282;1643
1160;242418;1644
1159;244402;1657
1157;244513;1658
1155;994560;6680
1154;6524512;43399
1152;6524544;43399
1150;6524643;43400
1148;7496351;49856
1145;7785710;51778
1142;7785892;51780
1140;7786049;51781
1138;8106670;53912
1136;8106705;53913
1134;17751705;118311
1132;17752484;118317
1128;17752730;118318
1127;17752958;118320
1124;17753059;118320
1123;17753061;118320
1120;17754749;118332
1119;17755294;118335
1118;17755442;118336
1116;17757856;118353
1115;17761170;118376
# END_OF_LOG

# BEGIN_SETUP
