
# ALGORITHM_SETUP
# algorithm: hc_rs_65536
# algorithm(class): aitoa.algorithms.HillClimberWithRestarts
# failsBeforeRestart: 65536
# failsBeforeRestartStrategy: 65536
# END_ALGORITHM_SETUP

# BEGIN_LOG
# fbest;consumedFEs;consumedTimeMS
1794;1;0
1642;5;0
1534;22;0
1502;24;0
1489;31;0
1478;47;0
1438;59;0
1424;60;0
1399;76;0
1385;81;0
1365;89;0
1325;94;0
1318;95;0
1309;105;0
1291;111;0
1283;134;0
1264;156;0
1241;158;0
1239;199;0
1238;284;1
1195;288;1
1186;408;1
1184;644;1
1169;650;2
1163;825;2
1158;850;2
1143;861;2
1137;1152;3
1132;1172;3
1131;1205;3
1126;1428;4
1124;1473;4
1119;1696;4
1118;2149;6
1115;3638;9
1111;3922;9
1109;3951;9
1100;4667;11
1098;4785;12
1094;4988;12
1089;6429;16
1084;13096;34
1075;13099;34
1073;14772;38
1071;55748;147
1067;55835;147
1064;56079;148
1063;56274;149
1050;56359;149
1045;87432;231
1041;87558;232
1037;87622;232
1034;387314;1094
1032;387345;1094
1030;388013;1096
1024;389273;1099
1022;389809;1101
1021;390321;1102
1018;390793;1104
1017;392394;1108
1015;393123;1110
1013;393355;1111
1012;393399;1111
1010;393534;1112
1009;3264201;8827
1008;3264868;8829
1005;4295184;11566
1002;4297120;11571
998;5915452;15866
996;5915963;15867
994;5916261;15868
993;5927161;15897
986;5928439;15900
984;5929775;15904
982;5931086;15907
980;5932835;15912
977;18275542;48700
976;18275822;48701
975;18275832;48701
974;18309013;48789
# END_OF_LOG

# BEGIN_SETUP
# SEARCH_SPACE: jssp:int[150]:la24:aitoa.examples.jssp.JSSPSearchSpace
# SEARCH_SPACE(class): aitoa.examples.jssp.JSSPSearchSpace
# NULLARY_OP: uniform
# NULLARY_OP(class): aitoa.examples.jssp.JSSPNullaryOperator
# UNARY_OP: nswap
# UNARY_OP(class): aitoa.examples.jssp.JSSPUnaryOperatorNSwap
# BINARY_OP: null
# TERNARY_OP: null
# SOLUTION_SPACE: jssp:gantt:la24:aitoa.examples.jssp.JSSPSolutionSpace
# SOLUTION_SPACE(class): aitoa.examples.jssp.JSSPSolutionSpace
# REPRESENTATION_MAPPING: jssp:int[]-to-Gantt:aitoa.examples.jssp.JSSPRepresentationMapping
# REPRESENTATION_MAPPING(class): aitoa.examples.jssp.JSSPRepresentationMapping
# OBJECTIVE_FUNCTION: la24
# OBJECTIVE_FUNCTION(class): aitoa.examples.jssp.JSSPMakespanObjectiveFunction
# MAX_FES: 9223372036854775807
# MAX_TIME: 180000
# GOAL_F: -Infinity
# RANDOM_SEED: 0x7a5124e4b4858975
# END_SETUP
# BEGIN_SYSTEM
# COMPUTER_MANUFACTURER: Dell Inc.
# COMPUTER_MODEL: Vostro 3480
# CPU_FAMILY: 6
# CPU_FREQUENCY_HZ: 1800000000
# CPU_ID: AFC1FBFF008006EB
# CPU_IDENTIFIER: Intel64 Family 6 Model 142 Stepping 11
# CPU_IS_64_BIT: true
# CPU_LOGICAL_CORES: 8
# CPU_MODEL: 142
# CPU_NAME: Intel(R) Core(TM) i7-8565U CPU @ 1.80GHz
# CPU_PHYSICAL_CORES: 4
# CPU_PHYSICAL_SLOTS: 1
# CPU_VENDOR: GenuineIntel
# GPU_NAME: Advanced Micro Devices, Inc. [AMD/ATI] Jet PRO [Radeon R5 M230 / R7 M260DX / Radeon 520 Mobile]
# GPU_PCI_DEVICE: Jet PRO [Radeon R5 M230 / R7 M260DX / Radeon 520 Mobile]
# GPU_PCI_DEVICE_ID: 6665
# GPU_PCI_VENDOR: Advanced Micro Devices, Inc. [AMD/ATI]
# GPU_PCI_VENDOR_ID: 1002
# JAVA_SPECIFICATION_NAME: Java Platform API Specification
# JAVA_SPECIFICATION_VENDOR: Oracle Corporation
# JAVA_SPECIFICATION_VERSION: 13
# JAVA_VENDOR: Private Build
# JAVA_VERSION: 13
# JAVA_VM_NAME: OpenJDK 64-Bit Server VM
# JAVA_VM_VENDOR: Private Build
# JAVA_VM_VERSION: 13+33-Ubuntu-1
# MAINBOARD_MANUFACTURER: Dell Inc.
# MAINBOARD_MODEL: 0KTK89
# MAINBOARD_VERSION: A00
# MEMORY_PAGE_SIZE: 4096
# MEMORY_TOTAL_BYTES: 16662446080
# NET_DOMAIN_NAME: laptop
# NET_HOST_NAME: laptop
# OS_BITS: 64
# OS_BUILD: 5.3.0-29-generic
# OS_CODENAME: Eoan Ermine
# OS_FAMILY: Ubuntu
# OS_MANUFACTURER: GNU/Linux
# OS_VERSION: 19.10
# PROCESS_COMMAND_LINE: java -classpath ./binaries/aitoa-code-0.8.34-full.jar aitoa.examples.jssp.JSSPExperiment ./results 7
# PROCESS_ID: 10539
# SESSION_START_DATE_TIME: 2020-02-25T10:37:54.921057Z
# version.aitoa: 0.8.34
# version.aitoa.java.build: 13
# version.aitoa.java.source: 1.8
# version.aitoa.junit: 4.13
# version.aitoa.oshi: 4.3.0
# version.aitoa.slf4j: 1.7.30
# END_SYSTEM

# BEGIN_STATE
# CONSUMED_FES: 67724098
# LAST_IMPROVEMENT_FE: 18309013
# CONSUMED_TIME: 180001
# LAST_IMPROVEMENT_TIME: 48789
# BEST_F: 974
# END_STATE
# BEST_X
