# ALGORITHM_SETUP
# base_algorithm: ea
# algorithm: ea_8192+8192@0.05
# algorithm(class): aitoa.algorithms.EA
# mu: 8192
# lambda: 8192
# cr: 0.05
# cr(inhex): 0x1.999999999999ap-5
# pruning: false
# restarts: false
# END_ALGORITHM_SETUP
# BEGIN_LOG
# fbest;consumedFEs;consumedTimeMS
1362;1;0
1252;3;0
1166;4;0
1122;57;1
1109;320;3
1102;813;8
1071;1408;14
1061;2760;28
1037;3153;32
1033;23855;226
1017;24418;228
990;28589;252
978;53962;396
973;66132;465
969;73521;501
925;78527;529
907;120768;750
889;144431;878
886;173140;1033
880;184905;1093
868;192753;1134
856;224016;1315
855;264079;1525
851;293716;1675
849;297940;1699
839;310576;1760
835;331915;1866
832;364751;2044
818;383695;2135
813;435953;2381
812;474859;2553
797;509579;2708
791;613214;3185
789;690043;3592
779;725354;3825
774;810943;4358
772;954889;5110
767;1003812;5335
766;1184306;6182
764;1232547;6419
760;1273851;6608
757;1457816;7400
753;1724104;8478
748;1751802;8589
747;1768698;8657
745;2195344;10396
743;2246984;10652
742;2526630;12015
741;2630809;12495
740;2659878;12616
739;2768024;13056
738;2774601;13083
737;3004092;14011
736;3069251;14300
731;3190863;14862
730;3514307;16310
729;3796799;17647
728;3982543;18637
725;4092722;19143
723;4330570;20098
720;4537253;20913
719;4686470;21514
717;5119574;23210
716;5361534;24181
715;5858919;26280
714;5940403;26697
712;6219944;28182
711;6730007;30432
710;6860734;30944
706;7226693;32384
705;7503952;33434
704;7571330;33691
703;7961074;35280
702;8387177;37222
# END_OF_LOG
# BEGIN_SETUP
# SEARCH_SPACE: jssp:int[300]:abz7
# SEARCH_SPACE(class): aitoa.examples.jssp.JSSPSearchSpace
# NULLARY_OP: uniform
# NULLARY_OP(class): aitoa.examples.jssp.JSSPNullaryOperator
# UNARY_OP: nswap
# UNARY_OP(class): aitoa.examples.jssp.JSSPUnaryOperatorNSwap
# BINARY_OP: sequence
# BINARY_OP(class): aitoa.examples.jssp.JSSPBinaryOperatorSequence
# TERNARY_OP: null
# SOLUTION_SPACE: jssp:gantt:abz7
# SOLUTION_SPACE(class): aitoa.examples.jssp.JSSPSolutionSpace
# REPRESENTATION_MAPPING: jssp:int[]-to-Gantt
# REPRESENTATION_MAPPING(class): aitoa.examples.jssp.JSSPRepresentationMapping
# OBJECTIVE_FUNCTION: abz7
# OBJECTIVE_FUNCTION(class): aitoa.examples.jssp.JSSPMakespanObjectiveFunction
# MAX_FES: 9223372036854775807
# MAX_TIME: 180000
# GOAL_F: -Infinity
# RANDOM_SEED: 0x3e18dccfaac019a5
# END_SETUP
# BEGIN_SYSTEM
# COMPUTER_MANUFACTURER: Dell Inc.
# COMPUTER_MODEL: Vostro 3480
# CPU_FAMILY: 6
# CPU_FREQUENCY_HZ: 1800000000
# CPU_ID: AFC1FBFF008006EB
# CPU_IDENTIFIER: Intel64 Family 6 Model 142 Stepping 11
# CPU_IS_64_BIT: true
# CPU_LOGICAL_CORES: 8
# CPU_MODEL: 142
# CPU_NAME: Intel(R) Core(TM) i7-8565U CPU @ 1.80GHz
# CPU_PHYSICAL_CORES: 4
# CPU_PHYSICAL_SLOTS: 1
# CPU_VENDOR: GenuineIntel
# GPU_NAME: Advanced Micro Devices, Inc. [AMD/ATI] Jet PRO [Radeon R5 M230 / R7 M260DX / Radeon 520 Mobile]
# GPU_PCI_DEVICE: Jet PRO [Radeon R5 M230 / R7 M260DX / Radeon 520 Mobile]
# GPU_PCI_DEVICE_ID: 6665
# GPU_PCI_VENDOR: Advanced Micro Devices, Inc. [AMD/ATI]
# GPU_PCI_VENDOR_ID: 1002
# JAVA_SPECIFICATION_NAME: Java Platform API Specification
# JAVA_SPECIFICATION_VENDOR: Oracle Corporation
# JAVA_SPECIFICATION_VERSION: 13
# JAVA_VENDOR: Private Build
# JAVA_VERSION: 13
# JAVA_VM_NAME: OpenJDK 64-Bit Server VM
# JAVA_VM_VENDOR: Private Build
# JAVA_VM_VERSION: 13+33-Ubuntu-1
# MAINBOARD_MANUFACTURER: Dell Inc.
# MAINBOARD_MODEL: 0KTK89
# MAINBOARD_VERSION: A00
# MEMORY_PAGE_SIZE: 4096
# MEMORY_TOTAL_BYTES: 16662450176
# NET_DOMAIN_NAME: laptop
# NET_HOST_NAME: laptop
# OS_BITS: 64
# OS_BUILD: 5.3.0-40-generic
# OS_CODENAME: Eoan Ermine
# OS_FAMILY: Ubuntu
# OS_MANUFACTURER: GNU/Linux
# OS_VERSION: 19.10
# PROCESS_COMMAND_LINE: java -classpath ./binaries/aitoa-code-0.8.49-full.jar aitoa.examples.jssp.JSSPExperiment ./results 3
# PROCESS_ID: 7617
# SESSION_START_DATE_TIME: 2020-04-01T23:09:07.549127Z
# version.aitoa: 0.8.49
# version.aitoa.java.build: 13
