# ALGORITHM_SETUP
# base_algorithm: ea
# algorithm: ea_8192+8192@0.05
# algorithm(class): aitoa.algorithms.EA
# mu: 8192
# lambda: 8192
# cr: 0.05
# cr(inhex): 0x1.999999999999ap-5
# pruning: false
# restarts: false
# END_ALGORITHM_SETUP
# BEGIN_LOG
# fbest;consumedFEs;consumedTimeMS
6224;1;1
6039;8;1
5962;42;1
5955;57;2
5809;80;2
5603;489;12
5574;706;17
5504;2264;51
5497;6725;154
5461;6865;157
5444;15998;363
5383;27993;556
5341;35813;669
5294;42790;773
5282;54653;966
5231;58488;1023
5228;63980;1105
5210;78975;1330
5202;98331;1603
5197;101286;1642
5185;101474;1645
5179;111288;1777
5144;114824;1833
5120;116327;1852
5072;119652;1896
5069;141318;2247
5053;141912;2255
5035;154522;2421
5023;164399;2559
5021;166316;2584
5010;170441;2633
5007;187728;2865
4999;195103;2963
4996;195200;2964
4977;203089;3072
4956;204783;3094
4911;212185;3191
4895;238264;3545
4892;241827;3586
4866;247402;3663
4863;257928;3799
4815;259992;3824
4798;276214;4042
4791;343982;4939
4779;356597;5108
4774;360776;5165
4769;372750;5319
4754;378469;5394
4722;381918;5433
4702;387264;5503
4692;409717;5786
4678;425745;5975
4674;429694;6029
4646;442423;6185
4596;462274;6426
4589;519635;7128
4553;562427;7650
4550;571461;7757
4541;607485;8223
4529;614000;8296
4522;649849;8729
4511;683764;9128
4502;741551;9812
4501;748718;9898
4485;767800;10120
4482;786827;10350
4478;800204;10502
4464;808521;10604
4459;859237;11201
4446;869007;11324
4414;887232;11535
4405;955425;12342
4400;976426;12595
4399;1040610;13364
4376;1080023;13828
4356;1109449;14181
4341;1150690;14673
4339;1205733;15336
4337;1237102;15713
4326;1246171;15820
4322;1273810;16148
4307;1276297;16176
4296;1309866;16579
4289;1338996;16931
4276;1398045;17641
4275;1441812;18171
4273;1444863;18205
4265;1471602;18527
4260;1493141;18791
4246;1529231;19223
4244;1547347;19436
4235;1553478;19513
4234;1627912;20396
4200;1667541;20868
4186;1730450;21618
4183;1907082;23728
4182;1931930;24030
4177;1943715;24175
4156;1950468;24261
4155;2036528;25285
4150;2047285;25408
4135;2084391;25851
4120;2188946;27074
4119;2254697;27830
4118;2254843;27832
4114;2284698;28174
4112;2305186;28409
4110;2332225;28720
4093;2392112;29421
4086;2484952;30490
4079;2501630;30684
4070;2502697;30695
4058;2705940;33051
4056;2783579;33953
4052;2789316;34020
4044;2847851;34699
4037;2873395;34994
4031;2895208;35251
4021;2970042;36125
4011;3029508;36823
4008;3083717;37463
4006;3206544;38939
4005;3223661;39160
4001;3245801;39440
4000;3262775;39649
3992;3287705;39947
3988;3435148;41690
3984;3447660;41833
3981;3498365;42427
3980;3499645;42440
3979;3524669;42727
3976;3588431;43455
3974;3590630;43478
3971;3616822;43776
3969;3638769;44024
3963;3673321;44435
3961;3724059;45009
3956;3734997;45131
3955;3864685;46088
3950;3958120;46721
3946;3974271;46830
3944;4041151;47294
3932;4053312;47374
3920;4261263;48808
3914;4551185;50798
3913;4734763;52056
3910;4744740;52130
3909;4764750;52262
3893;4785625;52409
3888;4951831;53532
3887;5027453;54052
3874;5235782;55470
3870;5541521;57554
3864;5544159;57571
3861;5728430;58818
3859;5751690;58975
3846;5833788;59528
3843;6281461;62565
3842;6443430;63670
3840;6463723;63809
3835;6477318;63898
3832;6489151;63981
3831;6741502;65739
3829;6748128;65784
3824;6757770;65849
3817;6913979;66913
3805;7014156;67593
3804;7258743;69244
3803;7311008;69595
3797;7349635;69857
3790;7528664;71063
3785;7772971;72674
3779;7799951;72853
3778;7941278;73765
3775;8142344;75054
3770;8283570;75972
3768;8438751;76983
3759;8842682;79620
3758;9200065;81971
3757;9741469;85889
3752;10299485;92109
3749;10745429;96952
3748;10869495;98322
3746;10888872;98539
3741;11064295;100555
3730;11467325;105051
3728;11575110;106244
3723;11890329;109790
3722;11904339;109948
3720;12005572;111079
3717;12130085;112468
3715;12236146;113666
3714;12301982;114416
3708;12513722;116820
3707;12550613;117245
3705;12669640;118605
3702;12873832;120948
3684;12884552;121065
3675;13146493;124055
3674;13534135;128512
3667;13607243;129340
3664;13762657;130396
3663;13800609;130649
3661;14177891;134598
3657;14237601;135270
3653;15113545;145173
3651;15166704;145766
3649;15510307;149608
3642;15598649;150605
3639;16016452;155274
3637;16229435;157701
3636;16906489;165471
3635;17002175;166527
3632;17760375;174959
# END_OF_LOG
# BEGIN_SETUP
# SEARCH_SPACE: jssp:int[500]:swv15
# SEARCH_SPACE(class): aitoa.examples.jssp.JSSPSearchSpace
# NULLARY_OP: uniform
# NULLARY_OP(class): aitoa.examples.jssp.JSSPNullaryOperator
# UNARY_OP: nswap
# UNARY_OP(class): aitoa.examples.jssp.JSSPUnaryOperatorNSwap
# BINARY_OP: sequence
# BINARY_OP(class): aitoa.examples.jssp.JSSPBinaryOperatorSequence
# TERNARY_OP: null
# SOLUTION_SPACE: jssp:gantt:swv15
# SOLUTION_SPACE(class): aitoa.examples.jssp.JSSPSolutionSpace
# REPRESENTATION_MAPPING: jssp:int[]-to-Gantt
# REPRESENTATION_MAPPING(class): aitoa.examples.jssp.JSSPRepresentationMapping
# OBJECTIVE_FUNCTION: swv15
# OBJECTIVE_FUNCTION(class): aitoa.examples.jssp.JSSPMakespanObjectiveFunction
# MAX_FES: 9223372036854775807
# MAX_TIME: 180000
# GOAL_F: -Infinity
# RANDOM_SEED: 0x27edc6bc766c28a2
# END_SETUP
# BEGIN_SYSTEM
# COMPUTER_MANUFACTURER: Dell Inc.
# COMPUTER_MODEL: Vostro 3480
# CPU_FAMILY: 6
# CPU_FREQUENCY_HZ: 1800000000
# CPU_ID: AFC1FBFF008006EB
# CPU_IDENTIFIER: Intel64 Family 6 Model 142 Stepping 11
# CPU_IS_64_BIT: true
# CPU_LOGICAL_CORES: 8
# CPU_MODEL: 142
# CPU_NAME: Intel(R) Core(TM) i7-8565U CPU @ 1.80GHz
# CPU_PHYSICAL_CORES: 4
# CPU_PHYSICAL_SLOTS: 1
# CPU_VENDOR: GenuineIntel
# GPU_NAME: Advanced Micro Devices, Inc. [AMD/ATI] Jet PRO [Radeon R5 M230 / R7 M260DX / Radeon 520 Mobile]
# GPU_PCI_DEVICE: Jet PRO [Radeon R5 M230 / R7 M260DX / Radeon 520 Mobile]
# GPU_PCI_DEVICE_ID: 6665
# GPU_PCI_VENDOR: Advanced Micro Devices, Inc. [AMD/ATI]
# GPU_PCI_VENDOR_ID: 1002
# JAVA_SPECIFICATION_NAME: Java Platform API Specification
# JAVA_SPECIFICATION_VENDOR: Oracle Corporation
# JAVA_SPECIFICATION_VERSION: 13
# JAVA_VENDOR: Private Build
# JAVA_VERSION: 13
# JAVA_VM_NAME: OpenJDK 64-Bit Server VM
# JAVA_VM_VENDOR: Private Build
# JAVA_VM_VERSION: 13+33-Ubuntu-1
# MAINBOARD_MANUFACTURER: Dell Inc.
# MAINBOARD_MODEL: 0KTK89
# MAINBOARD_VERSION: A00
# MEMORY_PAGE_SIZE: 4096
# MEMORY_TOTAL_BYTES: 16662450176
# NET_DOMAIN_NAME: laptop
# NET_HOST_NAME: laptop
# OS_BITS: 64
# OS_BUILD: 5.3.0-40-generic
# OS_CODENAME: Eoan Ermine
# OS_FAMILY: Ubuntu
# OS_MANUFACTURER: GNU/Linux
# OS_VERSION: 19.10
# PROCESS_COMMAND_LINE: java -classpath ./binaries/aitoa-code-0.8.49-full.jar aitoa.examples.jssp.JSSPExperiment ./results 7
# PROCESS_ID: 6130
# SESSION_START_DATE_TIME: 2020-04-03T05:17:12.527954Z
# version.aitoa: 0.8.49
# version.aitoa.java.build: 13
# version.aitoa.java.source: 1.8
# version.aitoa.junit: 4.13
