# ALGORITHM_SETUP
# base_algorithm: ea
# algorithm: ea_8192+8192@0.05
# algorithm(class): aitoa.algorithms.EA
# mu: 8192
# lambda: 8192
# cr: 0.05
# cr(inhex): 0x1.999999999999ap-5
# pruning: false
# restarts: false
# END_ALGORITHM_SETUP
# BEGIN_LOG
# fbest;consumedFEs;consumedTimeMS
2101;1;0
2040;2;0
1889;3;0
1851;15;0
1846;20;0
1836;21;0
1792;25;1
1756;96;2
1666;137;3
1642;140;3
1638;8065;115
1637;16877;299
1636;18437;314
1592;24462;373
1585;26942;405
1582;33961;484
1516;37154;548
1501;45102;642
1493;60180;811
1486;90761;1170
1483;91025;1172
1472;104881;1325
1458;105168;1328
1432;107245;1357
1425;148122;1822
1396;168262;2043
1394;181371;2192
1373;181780;2196
1358;240541;2845
1346;258368;3039
1342;272586;3201
1335;301544;3508
1334;315719;3662
1332;316802;3673
1315;325159;3762
1314;351010;4038
1310;379178;4349
1305;382303;4381
1304;401891;4595
1288;402337;4599
1280;423447;4822
1277;457669;5186
1276;465651;5270
1267;492454;5557
1255;526933;5916
1241;543156;6087
1240;639676;7099
1236;694745;7670
1226;743252;8172
1218;757293;8319
1217;897735;9772
1210;907849;9877
1205;981033;10640
1197;1022502;11074
1192;1096547;11840
1190;1141058;12307
1188;1144718;12341
1185;1163999;12549
1177;1263201;13581
1172;1367790;14661
1168;1381474;14805
1167;1418308;15190
1163;1478286;15808
1162;1600985;17075
1160;1609279;17160
1152;1610095;17167
1149;1647322;17553
1146;1744449;18534
1145;1785410;18950
1139;1795118;19055
1131;1934337;20470
1130;2061309;21751
1127;2149107;22657
1122;2393760;25167
1121;2424240;25475
1118;2432122;25560
1115;2549971;26844
1113;2610195;27453
1110;2720774;28587
1109;2986200;31255
1105;3132877;32721
1103;3327662;34648
1102;3342287;34789
1100;3608763;37389
1098;3725979;38554
1093;3797516;39267
1092;3943579;40717
1091;4151515;42787
1087;4194712;43222
1086;4485250;46131
1085;4494225;46222
1084;4672301;48011
1082;4750177;48789
1081;4925760;50526
1080;5317115;54388
1079;5348228;54689
1078;5544636;56627
1077;5547306;56657
1076;5608145;57254
1074;5829211;59413
1072;5842907;59548
1071;6003527;61126
1070;6034463;61435
1068;6068348;61766
1067;6282703;63885
1066;6959460;70567
1065;8045671;81073
1064;8957377;90119
1062;9755194;97782
1057;9933047;99493
1056;14112875;138920
1054;14365706;141286
1053;14468452;142257
# END_OF_LOG
# BEGIN_SETUP
# SEARCH_SPACE: jssp:int[400]:yn4
# SEARCH_SPACE(class): aitoa.examples.jssp.JSSPSearchSpace
# NULLARY_OP: uniform
# NULLARY_OP(class): aitoa.examples.jssp.JSSPNullaryOperator
# UNARY_OP: nswap
# UNARY_OP(class): aitoa.examples.jssp.JSSPUnaryOperatorNSwap
# BINARY_OP: sequence
# BINARY_OP(class): aitoa.examples.jssp.JSSPBinaryOperatorSequence
# TERNARY_OP: null
# SOLUTION_SPACE: jssp:gantt:yn4
# SOLUTION_SPACE(class): aitoa.examples.jssp.JSSPSolutionSpace
# REPRESENTATION_MAPPING: jssp:int[]-to-Gantt
# REPRESENTATION_MAPPING(class): aitoa.examples.jssp.JSSPRepresentationMapping
# OBJECTIVE_FUNCTION: yn4
# OBJECTIVE_FUNCTION(class): aitoa.examples.jssp.JSSPMakespanObjectiveFunction
# MAX_FES: 9223372036854775807
# MAX_TIME: 180000
# GOAL_F: -Infinity
# RANDOM_SEED: 0xbe33a3fb349d2638
# END_SETUP
# BEGIN_SYSTEM
# COMPUTER_MANUFACTURER: Dell Inc.
# COMPUTER_MODEL: Vostro 3480
# CPU_FAMILY: 6
# CPU_FREQUENCY_HZ: 1800000000
