# ALGORITHM_SETUP
# base_algorithm: ea
# algorithm: ea_16384+16384@0.0
# algorithm(class): aitoa.algorithms.EA
# mu: 16384
# lambda: 16384
# cr: 0
# cr(inhex): 0x0.0p0
# pruning: false
# restarts: false
# END_ALGORITHM_SETUP
# BEGIN_LOG
# fbest;consumedFEs;consumedTimeMS
1156;1;0
1128;6;0
1084;163;2
1082;203;3
1037;657;9
1036;6728;90
1034;7814;105
1029;21429;291
1026;55525;607
1019;64088;657
1010;78015;752
995;93612;856
994;96817;875
989;104862;939
977;123441;1061
968;138955;1164
958;150033;1243
952;178327;1422
951;233138;1798
950;242279;1849
939;250306;1910
916;278855;2106
888;305494;2272
887;472893;3383
881;480328;3442
875;492563;3528
874;525173;3742
867;531843;3780
853;592565;4183
852;654753;4579
851;655594;4600
845;669391;4677
839;674655;4722
837;782687;5420
836;821564;5685
835;825497;5707
830;856190;5910
826;902782;6216
825;966899;6638
805;971542;6664
804;1326944;8944
793;1349142;9093
792;1724142;11480
790;1788069;11887
788;1853026;12300
784;1978996;13096
781;2176365;14349
780;2241794;14765
778;2451751;16104
770;2504081;16434
769;3119397;20381
768;3173161;20744
767;3277412;21447
766;3350171;21921
764;3430210;22445
763;3603002;23571
761;3858569;25226
760;3935541;25728
759;3983521;26038
752;4207325;27475
751;5057640;32950
747;5348754;34823
746;5740745;37346
745;5770018;37537
744;6002799;39033
743;6864625;44577
742;7498934;48668
740;7593567;49277
739;8011639;51947
738;8350397;54104
737;8708355;56359
735;8715770;56401
733;9088512;58783
732;9347450;60432
731;9896543;63950
725;10897904;70373
724;11046241;71325
723;12179101;78580
721;12754876;82365
720;13121029;84743
719;13792946;89050
718;14477459;93382
715;14494673;93491
714;15229752;98162
713;15281668;98492
712;17818270;114792
711;18025942;116123
709;19450736;125099
708;21365187;137232
707;24795647;158918
# END_OF_LOG
# BEGIN_SETUP
# SEARCH_SPACE: jssp:int[300]:abz7
# SEARCH_SPACE(class): aitoa.examples.jssp.JSSPSearchSpace
# NULLARY_OP: uniform
# NULLARY_OP(class): aitoa.examples.jssp.JSSPNullaryOperator
# UNARY_OP: nswap
# UNARY_OP(class): aitoa.examples.jssp.JSSPUnaryOperatorNSwap
# BINARY_OP: sequence
# BINARY_OP(class): aitoa.examples.jssp.JSSPBinaryOperatorSequence
# TERNARY_OP: null
# SOLUTION_SPACE: jssp:gantt:abz7
# SOLUTION_SPACE(class): aitoa.examples.jssp.JSSPSolutionSpace
# REPRESENTATION_MAPPING: jssp:int[]-to-Gantt:aitoa.examples.jssp.JSSPRepresentationMapping
# REPRESENTATION_MAPPING(class): aitoa.examples.jssp.JSSPRepresentationMapping
# OBJECTIVE_FUNCTION: abz7
# OBJECTIVE_FUNCTION(class): aitoa.examples.jssp.JSSPMakespanObjectiveFunction
# MAX_FES: 9223372036854775807
# MAX_TIME: 180000
# GOAL_F: -Infinity
# RANDOM_SEED: 0x08e0b3b7d9c80621
# END_SETUP
# BEGIN_SYSTEM
# COMPUTER_MANUFACTURER: Dell Inc.
# COMPUTER_MODEL: Vostro 3480
# CPU_FAMILY: 6
# CPU_FREQUENCY_HZ: 1800000000
# CPU_ID: AFC1FBFF008006EB
# CPU_IDENTIFIER: Intel64 Family 6 Model 142 Stepping 11
# CPU_IS_64_BIT: true
# CPU_LOGICAL_CORES: 8
# CPU_MODEL: 142
# CPU_NAME: Intel(R) Core(TM) i7-8565U CPU @ 1.80GHz
# CPU_PHYSICAL_CORES: 4
# CPU_PHYSICAL_SLOTS: 1
# CPU_VENDOR: GenuineIntel
# GPU_NAME: Advanced Micro Devices, Inc. [AMD/ATI] Jet PRO [Radeon R5 M230 / R7 M260DX / Radeon 520 Mobile]
# GPU_PCI_DEVICE: Jet PRO [Radeon R5 M230 / R7 M260DX / Radeon 520 Mobile]
# GPU_PCI_DEVICE_ID: 6665
# GPU_PCI_VENDOR: Advanced Micro Devices, Inc. [AMD/ATI]
# GPU_PCI_VENDOR_ID: 1002
# JAVA_SPECIFICATION_NAME: Java Platform API Specification
# JAVA_SPECIFICATION_VENDOR: Oracle Corporation
# JAVA_SPECIFICATION_VERSION: 13
# JAVA_VENDOR: Private Build
# JAVA_VERSION: 13
# JAVA_VM_NAME: OpenJDK 64-Bit Server VM
# JAVA_VM_VENDOR: Private Build
# JAVA_VM_VERSION: 13+33-Ubuntu-1
# MAINBOARD_MANUFACTURER: Dell Inc.
# MAINBOARD_MODEL: 0KTK89
# MAINBOARD_VERSION: A00
# MEMORY_PAGE_SIZE: 4096
# MEMORY_TOTAL_BYTES: 16662450176
# NET_DOMAIN_NAME: laptop
# NET_HOST_NAME: laptop
# OS_BITS: 64
# OS_BUILD: 5.3.0-40-generic
# OS_CODENAME: Eoan Ermine
# OS_FAMILY: Ubuntu
# OS_MANUFACTURER: GNU/Linux
# OS_VERSION: 19.10
# PROCESS_COMMAND_LINE: java -classpath ./binaries/aitoa-code-0.8.45-full.jar aitoa.examples.jssp.JSSPExperiment ./results 7
# PROCESS_ID: 25017
# SESSION_START_DATE_TIME: 2020-03-21T02:53:32.571350Z
# version.aitoa: 0.8.45
# version.aitoa.java.build: 13
# version.aitoa.java.source: 1.8
# version.aitoa.junit: 4.13
# version.aitoa.oshi: 4.4.2
# version.aitoa.slf4j: 1.7.30
# END_SYSTEM
# BEGIN_STATE
# CONSUMED_FES: 28172338
# LAST_IMPROVEMENT_FE: 24795647
# CONSUMED_TIME: 180000
# LAST_IMPROVEMENT_TIME: 158918
# BEST_F: 707
# END_STATE
# BEST_X
