# ALGORITHM_SETUP
# base_algorithm: ea
# algorithm: ea_16384+16384@0.0
# algorithm(class): aitoa.algorithms.EA
# mu: 16384
# lambda: 16384
# cr: 0
# cr(inhex): 0x0.0p0
# pruning: false
# restarts: false
# END_ALGORITHM_SETUP
# BEGIN_LOG
# fbest;consumedFEs;consumedTimeMS
1736;1;0
1708;2;0
1640;13;1
1604;20;1
1496;30;1
1466;101;1
1422;196;2
1413;537;4
1407;1832;14
1393;1870;14
1391;6718;54
1375;8180;65
1345;9403;74
1337;22691;169
1330;35889;266
1319;52564;335
1314;53336;338
1245;87759;478
1242;144548;708
1241;150451;744
1227;169707;821
1189;193698;914
1187;280018;1287
1185;327684;1488
1182;328398;1490
1177;328754;1491
1169;382818;1711
1158;416337;1850
1142;430813;1913
1135;459644;2037
1130;580289;2534
1122;583886;2545
1116;628816;2737
1103;650723;2822
1095;789238;3402
1089;839548;3605
1081;909203;3884
1070;987833;4209
1068;1183657;5011
1065;1188579;5026
1047;1212793;5132
1014;1525343;6408
1013;2018977;8416
1007;2140109;8904
1006;2575701;10680
1004;3683383;15104
997;4851953;19582
994;6163347;24638
992;6276606;25084
989;6476569;25876
978;6697687;26761
977;7144361;28529
976;8179488;32639
972;9231677;36868
970;10233775;40805
969;10603289;42260
968;11327613;45086
967;11681541;46530
# END_OF_LOG
# BEGIN_SETUP
# SEARCH_SPACE: jssp:int[150]:la24
# SEARCH_SPACE(class): aitoa.examples.jssp.JSSPSearchSpace
# NULLARY_OP: uniform
# NULLARY_OP(class): aitoa.examples.jssp.JSSPNullaryOperator
# UNARY_OP: nswap
# UNARY_OP(class): aitoa.examples.jssp.JSSPUnaryOperatorNSwap
# BINARY_OP: sequence
# BINARY_OP(class): aitoa.examples.jssp.JSSPBinaryOperatorSequence
# TERNARY_OP: null
# SOLUTION_SPACE: jssp:gantt:la24
# SOLUTION_SPACE(class): aitoa.examples.jssp.JSSPSolutionSpace
# REPRESENTATION_MAPPING: jssp:int[]-to-Gantt:aitoa.examples.jssp.JSSPRepresentationMapping
# REPRESENTATION_MAPPING(class): aitoa.examples.jssp.JSSPRepresentationMapping
# OBJECTIVE_FUNCTION: la24
# OBJECTIVE_FUNCTION(class): aitoa.examples.jssp.JSSPMakespanObjectiveFunction
# MAX_FES: 9223372036854775807
# MAX_TIME: 180000
# GOAL_F: -Infinity
# RANDOM_SEED: 0x1a369a5e836c08bf
# END_SETUP
# BEGIN_SYSTEM
# COMPUTER_MANUFACTURER: Dell Inc.
# COMPUTER_MODEL: Vostro 3480
# CPU_FAMILY: 6
# CPU_FREQUENCY_HZ: 1800000000
# CPU_ID: AFC1FBFF008006EB
