# ALGORITHM_SETUP
# base_algorithm: ea
# algorithm: ea_16384+16384@0.0
# algorithm(class): aitoa.algorithms.EA
# mu: 16384
# lambda: 16384
# cr: 0
# cr(inhex): 0x0.0p0
# pruning: false
# restarts: false
# END_ALGORITHM_SETUP
# BEGIN_LOG
# fbest;consumedFEs;consumedTimeMS
6839;1;0
6674;2;0
6176;3;0
6168;16;0
6056;20;1
5978;46;1
5489;70;2
5476;32693;763
5412;40629;857
5364;66517;1134
5358;108281;1555
5310;110620;1576
5308;127844;1753
5277;132247;1812
5215;147714;1973
5105;201977;2525
5051;251933;3037
5045;295836;3493
5040;304885;3572
5005;312562;3660
4981;341001;3933
4943;366053;4196
4934;408919;4617
4908;428952;4836
4903;440608;4938
4896;465323;5198
4845;476335;5316
4802;533025;5878
4793;592508;6487
4776;633173;6886
4772;649910;7056
4764;658438;7150
4703;688089;7435
4683;789295;8600
4668;823406;8984
4667;877016;9589
4638;885414;9691
4622;949808;10404
4616;1070657;11788
4611;1079022;11874
4604;1105278;12179
4591;1154155;12733
4553;1202075;13281
4549;1276573;14114
4543;1291215;14285
4527;1315387;14568
4519;1393453;15459
4507;1434632;15916
4493;1617569;17991
4486;1655018;18431
4466;1708395;19031
4462;1727677;19246
4450;1799254;20055
4413;1822897;20334
4400;1873525;20906
4389;2005854;22301
4386;2113909;23031
4377;2238568;23862
4370;2256457;23979
4342;2339357;24536
4341;2578328;26146
4315;2581824;26166
4310;2743563;27253
4279;2759534;27362
4273;2807818;27686
4270;2909851;28369
4266;2965145;28738
4255;2983900;28874
4240;3059192;29372
4237;3249549;30654
4234;3346943;31308
4231;3367413;31441
4227;3417118;31774
4216;3431708;31875
4215;3539351;32602
4203;3574132;32834
4192;3653140;33352
4190;3721695;33824
4188;3862281;34759
4187;3865135;34776
4183;3912334;35094
4179;3985309;35588
4158;3989443;35613
4143;4049709;36022
4138;4153044;36712
4122;4299229;37693
4121;4344271;37998
4112;4356846;38073
4109;4382055;38245
4104;4434505;38594
4101;4472695;38846
4096;4602242;39717
4090;4636466;39946
4077;4649087;40033
4071;4808059;41100
4051;4844261;41342
4045;5147591;43379
4035;5239383;43987
4030;5419347;45194
4016;5490671;45701
4014;5862452;48275
4009;5867341;48319
4003;5883370;48429
3993;5896988;48511
3992;6188577;51247
3985;6474080;54397
3983;6707739;56964
3974;6739373;57313
3967;6851496;58547
3961;6973594;59879
3960;7347734;63995
3959;7375200;64303
3957;7414496;64727
3954;7426236;64861
3946;7492419;65588
3945;7597430;66737
3944;7826539;69254
3922;7908590;70154
3919;8050460;71721
3917;8244865;73861
3912;8291175;74372
3911;8866567;80817
3893;8949327;81768
3891;9534664;88491
3890;9779106;91303
3875;9797578;91511
3873;9904988;92756
3865;9946878;93244
3860;10284167;97111
3856;10684398;101720
3847;10875216;103906
3844;11400713;110082
3835;11440200;110549
3830;11728308;113853
3828;12024873;117258
3821;12228788;119615
3812;12325562;120730
3810;12678447;124769
3808;12733494;125414
3801;12976857;128214
3798;13010696;128601
3797;13327098;132231
3791;13586688;135219
3780;13759238;137194
3777;14259340;142957
3774;14813767;149333
3757;14920506;150550
3748;15901463;161817
3745;16476266;168533
3743;16655084;170607
3736;16692132;171029
3732;16859153;172970
3728;17428877;179502
# END_OF_LOG
# BEGIN_SETUP
# SEARCH_SPACE: jssp:int[500]:swv15
# SEARCH_SPACE(class): aitoa.examples.jssp.JSSPSearchSpace
# NULLARY_OP: uniform
# NULLARY_OP(class): aitoa.examples.jssp.JSSPNullaryOperator
# UNARY_OP: nswap
# UNARY_OP(class): aitoa.examples.jssp.JSSPUnaryOperatorNSwap
# BINARY_OP: sequence
# BINARY_OP(class): aitoa.examples.jssp.JSSPBinaryOperatorSequence
# TERNARY_OP: null
# SOLUTION_SPACE: jssp:gantt:swv15
# SOLUTION_SPACE(class): aitoa.examples.jssp.JSSPSolutionSpace
# REPRESENTATION_MAPPING: jssp:int[]-to-Gantt:aitoa.examples.jssp.JSSPRepresentationMapping
# REPRESENTATION_MAPPING(class): aitoa.examples.jssp.JSSPRepresentationMapping
# OBJECTIVE_FUNCTION: swv15
# OBJECTIVE_FUNCTION(class): aitoa.examples.jssp.JSSPMakespanObjectiveFunction
# MAX_FES: 9223372036854775807
# MAX_TIME: 180000
# GOAL_F: -Infinity
# RANDOM_SEED: 0xc9094ffb5338f941
# END_SETUP
# BEGIN_SYSTEM
# COMPUTER_MANUFACTURER: Dell Inc.
# COMPUTER_MODEL: Vostro 3480
# CPU_FAMILY: 6
