# ALGORITHM_SETUP
# base_algorithm: ea
# algorithm: ea_16384+16384@0.0
# algorithm(class): aitoa.algorithms.EA
# mu: 16384
# lambda: 16384
# cr: 0
# cr(inhex): 0x0.0p0
# pruning: false
# restarts: false
# END_ALGORITHM_SETUP
# BEGIN_LOG
# fbest;consumedFEs;consumedTimeMS
1970;1;0
1939;4;0
1921;8;0
1895;18;0
1786;33;1
1750;91;1
1744;106;1
1742;167;2
1693;174;2
1687;1152;13
1671;1234;14
1650;5046;54
1600;6255;67
1592;47485;410
1582;49317;428
1579;83675;579
1524;84210;581
1523;102819;660
1517;162614;913
1509;166951;940
1503;216708;1159
1473;221475;1177
1459;262376;1364
1443;263379;1368
1442;296496;1517
1420;325568;1637
1414;416029;2053
1394;426105;2102
1393;510866;2479
1384;540144;2600
1380;561255;2701
1375;610423;2917
1372;626152;2987
1362;628419;2997
1361;683762;3243
1356;689153;3276
1341;735714;3530
1337;752339;3619
1335;872871;4247
1327;906839;4409
1321;987149;4767
1308;1041890;5013
1305;1065650;5118
1300;1085912;5204
1278;1093135;5232
1266;1331473;6258
1252;1411974;6606
1237;1539857;7144
1231;1750675;8045
1221;1869276;8551
1220;1979366;9014
1216;2022067;9199
1200;2054101;9338
1198;2405846;10838
1193;2502162;11250
1187;2649952;11880
1184;2860541;12785
1183;2927253;13070
1180;3113595;13857
1177;3234974;14407
1176;3266521;14543
1175;3451002;15344
1174;3520354;15647
1172;3527689;15684
1171;3706785;16461
1169;3719908;16520
1167;3838060;17024
1166;3901354;17296
1165;4005050;17737
1164;4216360;18645
1157;4275603;18891
1154;4476667;19775
1153;4767480;21045
1152;4999722;22051
1149;5464790;24047
1145;5485240;24136
1144;6241333;27386
1143;6284132;27577
1141;6310234;27690
1137;6927888;30354
1134;7199902;31530
1133;7443601;32586
1132;7957658;34816
1130;8238089;36013
1129;9180309;40127
1127;9203153;40223
1126;9903271;43202
1125;10144727;44245
1124;10734442;46776
1122;11152072;48557
1120;11459695;49890
1119;11644221;50665
1116;12114975;52663
1113;12160993;52859
1111;12762889;55424
1110;13335478;57888
1109;13477391;58499
1108;13501617;58608
1107;14314370;62093
1105;14653882;63595
1103;14875706;64592
1102;15217438;66048
1100;15595557;67659
1096;16078201;69709
1094;16239014;70396
1090;17093290;74049
1089;18315080;79258
1087;18478331;79969
1086;19241245;83237
1085;20639019;89177
1084;22383174;96566
1083;23063450;99438
1081;23486048;101216
1079;25465175;109543
1077;25507637;109717
1076;27103367;116480
1075;27984833;120238
1073;29637230;127177
1071;29707387;127478
1070;31967185;137032
1068;33215161;142347
1067;35479213;151835
1066;37079360;158594
1065;37288779;159469
1064;38266208;163564
1062;38999053;166633
1061;40244311;171913
# END_OF_LOG
# BEGIN_SETUP
# SEARCH_SPACE: jssp:int[400]:yn4
# SEARCH_SPACE(class): aitoa.examples.jssp.JSSPSearchSpace
# NULLARY_OP: uniform
# NULLARY_OP(class): aitoa.examples.jssp.JSSPNullaryOperator
# UNARY_OP: nswap
# UNARY_OP(class): aitoa.examples.jssp.JSSPUnaryOperatorNSwap
# BINARY_OP: sequence
# BINARY_OP(class): aitoa.examples.jssp.JSSPBinaryOperatorSequence
# TERNARY_OP: null
# SOLUTION_SPACE: jssp:gantt:yn4
# SOLUTION_SPACE(class): aitoa.examples.jssp.JSSPSolutionSpace
# REPRESENTATION_MAPPING: jssp:int[]-to-Gantt:aitoa.examples.jssp.JSSPRepresentationMapping
# REPRESENTATION_MAPPING(class): aitoa.examples.jssp.JSSPRepresentationMapping
# OBJECTIVE_FUNCTION: yn4
# OBJECTIVE_FUNCTION(class): aitoa.examples.jssp.JSSPMakespanObjectiveFunction
# MAX_FES: 9223372036854775807
# MAX_TIME: 180000
# GOAL_F: -Infinity
# RANDOM_SEED: 0xf22c9afc59583b0f
# END_SETUP
# BEGIN_SYSTEM
# COMPUTER_MANUFACTURER: Dell Inc.
# COMPUTER_MODEL: Vostro 3480
# CPU_FAMILY: 6
# CPU_FREQUENCY_HZ: 1800000000
# CPU_ID: AFC1FBFF008006EB
# CPU_IDENTIFIER: Intel64 Family 6 Model 142 Stepping 11
# CPU_IS_64_BIT: true
# CPU_LOGICAL_CORES: 8
# CPU_MODEL: 142
# CPU_NAME: Intel(R) Core(TM) i7-8565U CPU @ 1.80GHz
# CPU_PHYSICAL_CORES: 4
# CPU_PHYSICAL_SLOTS: 1
# CPU_VENDOR: GenuineIntel
# GPU_NAME: Advanced Micro Devices, Inc. [AMD/ATI] Jet PRO [Radeon R5 M230 / R7 M260DX / Radeon 520 Mobile]
# GPU_PCI_DEVICE: Jet PRO [Radeon R5 M230 / R7 M260DX / Radeon 520 Mobile]
# GPU_PCI_DEVICE_ID: 6665
# GPU_PCI_VENDOR: Advanced Micro Devices, Inc. [AMD/ATI]
# GPU_PCI_VENDOR_ID: 1002
# JAVA_SPECIFICATION_NAME: Java Platform API Specification
# JAVA_SPECIFICATION_VENDOR: Oracle Corporation
# JAVA_SPECIFICATION_VERSION: 13
# JAVA_VENDOR: Private Build
# JAVA_VERSION: 13
# JAVA_VM_NAME: OpenJDK 64-Bit Server VM
# JAVA_VM_VENDOR: Private Build
# JAVA_VM_VERSION: 13+33-Ubuntu-1
# MAINBOARD_MANUFACTURER: Dell Inc.
# MAINBOARD_MODEL: 0KTK89
# MAINBOARD_VERSION: A00
# MEMORY_PAGE_SIZE: 4096
# MEMORY_TOTAL_BYTES: 16662450176
# NET_DOMAIN_NAME: laptop
# NET_HOST_NAME: laptop
# OS_BITS: 64
# OS_BUILD: 5.3.0-40-generic
# OS_CODENAME: Eoan Ermine
# OS_FAMILY: Ubuntu
# OS_MANUFACTURER: GNU/Linux
# OS_VERSION: 19.10
# PROCESS_COMMAND_LINE: java -classpath ./binaries/aitoa-code-0.8.45-full.jar aitoa.examples.jssp.JSSPExperiment ./results 3
# PROCESS_ID: 10025
# SESSION_START_DATE_TIME: 2020-03-20T05:21:52.073544Z
# version.aitoa: 0.8.45
# version.aitoa.java.build: 13
# version.aitoa.java.source: 1.8
# version.aitoa.junit: 4.13
# version.aitoa.oshi: 4.4.2
# version.aitoa.slf4j: 1.7.30
# END_SYSTEM
# BEGIN_STATE
# CONSUMED_FES: 42156032
# LAST_IMPROVEMENT_FE: 40244311
# CONSUMED_TIME: 180004
# LAST_IMPROVEMENT_TIME: 171913
# BEST_F: 1061
# END_STATE
# BEST_X
new int[] { 0, 17, 13, 12, 18, 15, 12, 8, 11, 16, 2, 12, 9, 5, 15, 3, 18, 11, 16, 11, 18, 6, 6, 19, 9, 12, 2, 5, 12, 7, 13, 12, 8, 0, 7, 8, 16, 6, 1, 10, 2, 3, 14, 4, 19, 7, 14, 8, 17, 7, 1, 11, 17, 6, 12, 0, 10, 11, 14, 9, 2, 10, 4, 11, 14, 17, 15, 12, 18, 6, 15, 19, 3, 5, 6, 7, 13, 0, 16, 10, 17, 19, 5, 11, 15, 18, 7, 10, 15, 19, 1, 14, 3, 9, 13, 18, 5, 16, 13, 19, 5, 10, 19, 11, 7, 16, 4, 8, 9, 8, 15, 8, 12, 17, 3, 9, 4, 7, 14, 3, 1, 3, 4, 15, 8, 19, 3, 13, 17, 5, 12, 6, 12, 9, 1, 17, 9, 10, 16, 10, 2, 13, 12, 4, 19, 5, 9, 11, 5, 10, 18, 3, 0, 7, 15, 17, 13, 19, 9, 18, 6, 0, 11, 12, 10, 3, 14, 16, 11, 0, 8, 2, 7, 1, 12, 6, 8, 6, 1, 17, 14, 1, 18, 15, 7, 16, 10, 6, 8, 10, 16, 5, 0, 16, 19, 4, 18, 11, 19, 7, 15, 4, 13, 7, 12, 6, 2, 2, 10, 8, 14, 8, 17, 12, 1, 9, 0, 1, 0, 13, 0, 19, 11, 15, 8, 14, 6, 7, 5, 2, 9, 10, 18, 1, 16, 3, 4, 1, 15, 14, 14, 1, 13, 8, 17, 12, 4, 12, 17, 19, 10, 10, 1, 1, 11, 9, 19, 2, 8, 0, 7, 6, 13, 9, 17, 15, 16, 16, 0, 1, 8, 3, 4, 4, 11, 19, 5, 12, 2, 0, 18, 10, 6, 9, 16, 13, 5, 17, 4, 14, 5, 16, 9, 18, 7, 18, 8, 14, 15, 9, 5, 12, 8, 19, 16, 15, 4, 1, 13, 9, 1, 4, 6, 19, 7, 2, 3, 1, 6, 14, 2, 10, 14, 3, 17, 19, 18, 7, 13, 0, 7, 6, 2, 15, 10, 3, 11, 0, 7, 13, 0, 4, 18, 17, 2, 5, 0, 3, 1, 17, 16, 19, 9, 8, 15, 18, 15, 2, 4, 13, 15, 13, 10, 5, 0, 14, 3, 16, 17, 6, 18, 2, 18, 3, 11, 9, 13, 14, 6, 5, 14, 4, 0, 11, 13, 16, 2, 3, 2, 2, 11, 18, 5, 11, 17, 3, 14, 5, 4, 4}
# END_BEST_X
# BEST_Y
new aitoa.examples.jssp.JSSPCandidateSolution(new int[][] {
{ 12, 0, 10, 16, 10, 23, 6, 23, 50, 7, 50, 82, 13, 82, 123, 0, 123, 144, 19, 153, 196, 10, 196, 238, 18, 238, 265, 8, 265, 285, 3, 348, 382, 1, 382, 422, 5, 422, 446, 2, 476, 495, 11, 551, 566, 17, 575, 623, 14, 668, 706, 9, 795, 842, 15, 842, 890, 4, 947, 968},
{ 2, 71, 83, 12, 147, 175, 5, 175, 193, 16, 201, 237, 9, 265, 287, 11, 333, 359, 10, 359, 404, 15, 404, 426, 8, 468, 500, 1, 500, 520, 7, 553, 586, 0, 586, 617, 13, 632, 663, 4, 664, 710, 6, 710, 727, 19, 728, 770, 14, 770, 799, 3, 804, 852, 17, 904, 942, 18, 942, 982},
