# ALGORITHM_SETUP
# base_algorithm: ea
# algorithm: eap_4+4@0.05
# algorithm(class): aitoa.algorithms.EAWithPruning
# mu: 4
# lambda: 4
# cr: 0.05
# cr(inhex): 0x1.999999999999ap-5
# pruning: true
# restarts: false
# END_ALGORITHM_SETUP
# BEGIN_LOG
# fbest;consumedFEs;consumedTimeMS
1209;1;0
1179;5;0
1136;12;0
1076;15;0
1061;32;0
1043;44;1
1014;53;1
998;113;1
994;132;1
979;153;1
968;154;1
963;167;1
945;170;1
932;223;1
931;251;1
927;432;2
925;478;2
918;507;2
915;511;2
909;541;2
890;643;3
884;779;3
873;834;3
870;1113;4
859;1121;4
858;1439;5
856;1692;6
855;1802;7
853;1825;7
852;2377;9
850;2660;11
847;2668;11
845;2696;11
844;2851;12
839;3253;14
832;3489;14
819;3849;16
818;4231;17
817;4445;17
812;4682;18
807;4816;19
806;4899;19
805;5145;20
804;5390;21
803;5707;22
802;5885;22
801;6300;24
800;6841;26
799;6998;27
797;7085;27
796;7634;29
795;11438;42
794;12589;46
793;12740;47
792;13057;48
790;15545;56
782;15607;56
780;16432;59
779;17143;61
778;18464;65
776;18678;66
770;19091;67
768;19512;69
767;19522;69
765;19617;69
761;19829;70
760;31314;108
759;32125;111
758;33584;116
754;33728;117
749;35622;123
748;37714;130
747;38205;131
746;42163;144
744;42178;144
739;42864;146
736;44684;152
735;48755;166
734;49114;167
733;67543;240
732;67961;241
731;69400;246
726;70384;249
725;70943;251
724;71982;254
723;90020;318
720;95877;338
718;99382;350
716;117547;413
715;119251;419
714;120385;423
713;120591;424
711;136322;477
710;151704;530
709;208100;774
707;262351;987
706;1286266;5014
704;1293173;5041
703;1294883;5048
702;1299741;5068
701;1326851;5174
700;1414226;5513
699;1416747;5523
697;1750409;6821
696;2548649;9973
694;20318768;79951
693;20329565;79991
692;23806890;93550
690;23849879;93719
# END_OF_LOG
# BEGIN_SETUP
# SEARCH_SPACE: jssp:int[300]:abz7
# SEARCH_SPACE(class): aitoa.examples.jssp.JSSPSearchSpace
# NULLARY_OP: uniform
# NULLARY_OP(class): aitoa.examples.jssp.JSSPNullaryOperator
# UNARY_OP: nswap
# UNARY_OP(class): aitoa.examples.jssp.JSSPUnaryOperatorNSwap
# BINARY_OP: sequence
# BINARY_OP(class): aitoa.examples.jssp.JSSPBinaryOperatorSequence
# TERNARY_OP: null
# SOLUTION_SPACE: jssp:gantt:abz7
# SOLUTION_SPACE(class): aitoa.examples.jssp.JSSPSolutionSpace
# REPRESENTATION_MAPPING: jssp:int[]-to-Gantt
# REPRESENTATION_MAPPING(class): aitoa.examples.jssp.JSSPRepresentationMapping
# OBJECTIVE_FUNCTION: abz7
# OBJECTIVE_FUNCTION(class): aitoa.examples.jssp.JSSPMakespanObjectiveFunction
# MAX_FES: 9223372036854775807
# MAX_TIME: 180000
# GOAL_F: -Infinity
# RANDOM_SEED: 0x793f5c5a1c414096
# END_SETUP
# BEGIN_SYSTEM
# COMPUTER_MANUFACTURER: Dell Inc.
# COMPUTER_MODEL: Vostro 3480
# CPU_FAMILY: 6
# CPU_FREQUENCY_HZ: 1800000000
# CPU_ID: AFC1FBFF008006EB
# CPU_IDENTIFIER: Intel64 Family 6 Model 142 Stepping 11
# CPU_IS_64_BIT: true
# CPU_LOGICAL_CORES: 8
# CPU_MODEL: 142
# CPU_NAME: Intel(R) Core(TM) i7-8565U CPU @ 1.80GHz
# CPU_PHYSICAL_CORES: 4
# CPU_PHYSICAL_SLOTS: 1
# CPU_VENDOR: GenuineIntel
# GPU_NAME: Advanced Micro Devices, Inc. [AMD/ATI] Jet PRO [Radeon R5 M230 / R7 M260DX / Radeon 520 Mobile]
# GPU_PCI_DEVICE: Jet PRO [Radeon R5 M230 / R7 M260DX / Radeon 520 Mobile]
# GPU_PCI_DEVICE_ID: 6665
# GPU_PCI_VENDOR: Advanced Micro Devices, Inc. [AMD/ATI]
# GPU_PCI_VENDOR_ID: 1002
# JAVA_SPECIFICATION_NAME: Java Platform API Specification
# JAVA_SPECIFICATION_VENDOR: Oracle Corporation
# JAVA_SPECIFICATION_VERSION: 13
# JAVA_VENDOR: Private Build
# JAVA_VERSION: 13
# JAVA_VM_NAME: OpenJDK 64-Bit Server VM
# JAVA_VM_VENDOR: Private Build
# JAVA_VM_VERSION: 13+33-Ubuntu-1
# MAINBOARD_MANUFACTURER: Dell Inc.
# MAINBOARD_MODEL: 0KTK89
# MAINBOARD_VERSION: A00
# MEMORY_PAGE_SIZE: 4096
# MEMORY_TOTAL_BYTES: 16662450176
# NET_DOMAIN_NAME: laptop
# NET_HOST_NAME: laptop
# OS_BITS: 64
