# ALGORITHM_SETUP
# base_algorithm: ea
# algorithm: eap_4+4@0.05
# algorithm(class): aitoa.algorithms.EAWithPruning
# mu: 4
# lambda: 4
# cr: 0.05
# cr(inhex): 0x1.999999999999ap-5
# pruning: true
# restarts: false
# END_ALGORITHM_SETUP
# BEGIN_LOG
# fbest;consumedFEs;consumedTimeMS
1973;1;0
1829;2;0
1561;3;0
1491;15;0
1489;25;0
1446;64;0
1444;93;0
1439;107;0
1365;143;0
1358;185;1
1357;198;1
1336;199;1
1286;213;1
1272;269;1
1256;350;1
1238;391;1
1222;681;2
1216;790;3
1211;877;3
1171;883;3
1158;963;3
1150;1095;4
1147;1141;4
1145;1621;6
1125;1649;6
1111;2228;8
1105;2514;9
1104;3110;11
1099;3164;11
1097;4322;15
1091;4660;16
1089;4740;17
1086;6535;23
1085;6820;24
1084;6885;24
1082;7430;26
1072;7511;26
1070;8109;28
1068;11945;42
1064;12039;42
1060;13285;46
1058;13366;47
1056;14182;50
1054;14952;52
1050;15753;55
1048;19120;67
1047;20127;71
1046;20166;71
1043;21570;76
1040;21893;77
1039;31379;111
1030;50570;179
1024;51330;182
1019;51498;183
1016;51539;183
1012;62983;221
1009;64147;225
1004;64558;227
1003;64564;227
1002;69492;243
997;75041;262
996;156649;618
991;157976;623
981;159769;629
979;160261;631
978;169844;665
976;179804;702
975;231635;890
974;269250;1034
973;40994669;137787
969;41849754;139535
962;41850446;139537
961;41888892;139616
# END_OF_LOG
# BEGIN_SETUP
# SEARCH_SPACE: jssp:int[150]:la24
# SEARCH_SPACE(class): aitoa.examples.jssp.JSSPSearchSpace
# NULLARY_OP: uniform
# NULLARY_OP(class): aitoa.examples.jssp.JSSPNullaryOperator
# UNARY_OP: nswap
# UNARY_OP(class): aitoa.examples.jssp.JSSPUnaryOperatorNSwap
# BINARY_OP: sequence
# BINARY_OP(class): aitoa.examples.jssp.JSSPBinaryOperatorSequence
# TERNARY_OP: null
# SOLUTION_SPACE: jssp:gantt:la24
# SOLUTION_SPACE(class): aitoa.examples.jssp.JSSPSolutionSpace
# REPRESENTATION_MAPPING: jssp:int[]-to-Gantt
# REPRESENTATION_MAPPING(class): aitoa.examples.jssp.JSSPRepresentationMapping
# OBJECTIVE_FUNCTION: la24
# OBJECTIVE_FUNCTION(class): aitoa.examples.jssp.JSSPMakespanObjectiveFunction
# MAX_FES: 9223372036854775807
# MAX_TIME: 180000
# GOAL_F: -Infinity
# RANDOM_SEED: 0xc283eafd3379759a
# END_SETUP
# BEGIN_SYSTEM
# COMPUTER_MANUFACTURER: Dell Inc.
# COMPUTER_MODEL: Vostro 3480
# CPU_FAMILY: 6
# CPU_FREQUENCY_HZ: 1800000000
# CPU_ID: AFC1FBFF008006EB
# CPU_IDENTIFIER: Intel64 Family 6 Model 142 Stepping 11
# CPU_IS_64_BIT: true
# CPU_LOGICAL_CORES: 8
# CPU_MODEL: 142
# CPU_NAME: Intel(R) Core(TM) i7-8565U CPU @ 1.80GHz
