# ALGORITHM_SETUP
# base_algorithm: ea
# algorithm: eap_4+4@0.05
# algorithm(class): aitoa.algorithms.EAWithPruning
# mu: 4
# lambda: 4
# cr: 0.05
# cr(inhex): 0x1.999999999999ap-5
# pruning: true
# restarts: false
# END_ALGORITHM_SETUP
# BEGIN_LOG
# fbest;consumedFEs;consumedTimeMS
6563;1;0
6366;3;0
6257;5;0
6239;12;0
6056;14;0
6034;20;0
5867;24;0
5852;35;0
5786;38;0
5752;44;0
5729;51;0
5712;54;0
5704;55;0
5658;66;0
5648;95;1
5626;97;1
5616;99;1
5567;123;1
5531;134;1
5485;157;1
5451;177;1
5415;204;2
5366;213;2
5346;216;2
5330;239;2
5287;250;2
5270;270;2
5202;326;3
5191;367;3
5178;422;4
5175;471;4
5173;488;5
5166;527;5
5152;545;5
5147;567;5
5137;645;6
5135;664;6
5131;667;6
5127;668;6
5122;743;7
5116;809;8
5107;817;8
5097;826;8
5092;866;8
5087;879;8
5084;887;8
5076;900;8
5054;936;9
5019;977;9
4992;1070;10
4981;1139;11
4975;1180;11
4974;1187;11
4944;1198;11
4942;1359;13
4939;1382;13
4932;1422;13
4906;1579;15
4897;1666;15
4874;1673;16
4865;1692;16
4862;2033;19
4848;2057;19
4825;2298;21
4823;2373;22
4821;2530;23
4793;2728;25
4792;2754;26
4777;2772;26
4744;2806;26
4733;3004;28
4730;3060;28
4720;3061;28
4691;3063;28
4681;3079;29
4679;3144;29
4678;3217;30
4661;3546;33
4658;3694;34
4657;3764;35
4642;3772;35
4617;3832;36
4616;3975;37
4607;3990;37
4604;4104;38
4600;4105;38
4595;4249;40
4579;4472;42
4566;4514;42
4550;4634;43
4540;4664;44
4537;4791;45
4530;4916;46
4522;5071;48
4513;5160;48
4490;5192;49
4489;5199;49
4485;5421;51
4480;5527;52
4475;5640;53
4469;5801;54
4468;6064;57
4465;6067;57
4462;6297;59
4459;6527;61
4456;6572;62
4452;6692;63
4436;7040;66
4434;7121;67
4430;7218;68
4421;7772;73
4420;7911;74
4418;8090;76
4417;8528;80
4409;8532;80
4398;8612;81
4397;8755;82
4393;8766;83
4389;8923;84
4386;8951;84
4382;9978;94
4379;10342;98
4369;10764;102
4363;10770;102
4362;10945;104
4361;11179;106
4358;13676;131
4350;13799;132
4340;13830;133
4334;13891;133
4329;14815;142
4312;15459;149
4288;15850;152
4282;16143;155
4270;16467;158
4266;16595;160
4262;16707;161
4256;16794;162
4246;17338;167
4237;18078;174
4228;21391;207
4213;21594;209
4208;21603;209
4203;22671;219
4192;22719;220
4189;22821;221
4188;22827;221
4186;23168;224
4180;23190;224
4176;23236;225
4175;23488;227
4162;23650;229
4157;24026;232
4155;24097;233
4152;24301;235
4148;26160;253
4145;26184;253
4143;26328;255
4138;26863;260
4129;27249;264
4128;27257;264
4111;27268;264
4108;28008;271
4100;28557;277
4088;28848;279
4085;29763;288
4078;31075;301
4074;31927;309
4073;32338;313
4070;32971;318
4069;35252;334
4067;35759;338
4057;36723;347
4054;37032;349
4052;38012;358
4050;38022;358
4049;38060;358
4043;38862;364
4040;39052;366
4037;40032;375
4036;42179;391
4031;42630;394
4025;42642;395
4018;43777;404
4015;44018;406
3996;44197;408
3992;44209;408
3975;44609;412
3969;45158;416
3967;47394;436
3965;48695;446
3958;49212;450
3957;49742;454
3947;49845;455
3943;51256;465
3942;51414;466
3924;51455;467
3920;51623;468
3917;51787;470
3916;51933;471
3914;55409;506
3907;55470;506
3904;55668;508
3903;56088;512
3899;56916;520
3898;57992;531
3897;58018;531
3892;58515;536
3890;60932;560
3889;62017;570
3884;62233;572
3876;62660;576
3874;62994;580
3870;69866;647
3868;70006;648
3865;70010;648
3859;70172;650
3858;70215;650
3857;70296;651
3856;70317;651
3854;91292;869
3851;91474;871
3848;102086;981
3846;107077;1031
3838;111543;1075
3836;112367;1084
3835;112474;1085
3830;113314;1093
3829;114986;1110
3823;116055;1120
3820;116725;1127
3815;117326;1133
3814;121592;1174
3813;132769;1289
3806;135649;1320
3792;138855;1354
3791;140158;1398
3790;142771;1425
3789;143348;1430
3787;144951;1445
3784;146902;1464
3783;151530;1526
3782;152514;1536
3775;153384;1544
3770;153517;1546
3766;167600;1708
3765;174824;1785
3763;176162;1799
3762;176496;1803
3761;180107;1841
3759;188243;1929
3745;189721;1945
3736;189737;1945
3732;189946;1947
3731;194392;1995
3729;194473;1996
3728;196869;2023
3726;197976;2035
3722;198440;2040
3721;199116;2048
3720;199590;2053
3719;200090;2058
3713;200435;2062
3711;200951;2068
3710;201384;2073
3709;201432;2073
3706;201622;2076
3693;201676;2076
3690;203056;2092
3688;207012;2135
3683;212500;2196
3679;213809;2210
3678;213991;2212
3675;218041;2255
3670;220659;2324
3661;222835;2348
3660;229012;2413
3654;231041;2435
3653;232844;2453
3652;240496;2534
3648;244296;2573
3645;247401;2605
3644;248428;2615
3635;249759;2629
3633;250442;2636
3631;250650;2638
3629;252939;2662
3627;269411;2834
3624;274611;2886
3623;307495;3219
3620;308602;3230
3618;308841;3232
3616;310923;3281
3613;317727;3350
3609;319134;3364
3607;321181;3385
3605;321230;3385
3603;343628;3608
3601;359756;3773
3599;361012;3786
3595;363421;3811
3591;370289;3880
3590;382299;4000
3589;383319;4010
3584;384834;4026
3578;384839;4026
3571;384851;4026
3570;391965;4100
3568;393706;4118
3567;398203;4162
3566;403342;4214
3557;404301;4224
3555;428617;4472
3552;434522;4531
3550;435838;4544
3549;436452;4550
3548;437433;4560
3546;437596;4561
3544;491556;5106
3543;492598;5118
3541;496201;5154
3540;505962;5252
3537;508705;5279
3535;510255;5294
3534;529942;5491
3524;531359;5505
3523;547291;5664
3522;573040;5920
3519;595367;6142
3514;615009;6340
3509;628310;6471
3507;630402;6492
3506;632731;6515
3505;636531;6552
3504;674591;6934
3499;677658;6966
3497;681462;7004
3495;681713;7007
3493;682699;7016
3491;682743;7017
3490;685503;7044
3489;686486;7054
3486;720586;7393
3484;734142;7527
3483;734518;7531
3482;748943;7674
3480;770519;7891
3476;776449;7951
3469;779756;7983
3468;846984;8656
3466;858363;8767
3462;858841;8772
3460;860113;8785
3452;926763;9456
3451;929310;9482
3450;931968;9507
3448;933234;9520
3446;936930;9556
3443;937276;9560
3442;942502;9611
3440;968355;9869
3436;1051126;10697
3433;1051741;10703
3430;1053020;10715
3427;1061451;10799
3425;1081782;11003
3424;1084016;11026
3422;1084247;11028
3421;1084472;11030
3420;1084975;11035
3418;1122737;11409
3416;1127352;11455
3415;1130363;11485
3413;1134362;11524
3412;1136605;11546
3410;1139221;11572
3408;1139390;11573
3407;1139531;11575
3405;1139578;11575
3402;1140816;11587
3395;1143237;11612
3391;1143318;11612
3390;1158113;11757
3388;1158356;11760
3387;1158700;11763
3385;1161006;11785
3383;1161645;11791
3382;1205376;12229
3381;1215918;12339
3380;1216627;12346
3379;1227922;12458
3378;1231297;12491
3377;1290311;13087
3376;1291913;13104
3375;1333476;13522
3374;1335863;13546
3372;1342384;13610
3371;1360954;13794
3370;1389394;14078
3368;1393018;14113
3366;1393455;14117
3364;1400371;14186
3363;1402001;14202
3360;1420450;14385
3359;1421438;14395
3358;1429180;14471
3356;1436704;14545
3353;1525272;15445
3350;1526537;15458
3349;1528879;15480
3347;1529069;15482
3344;1548191;15670
3343;1605877;16243
3341;1635815;16542
3340;1639422;16578
3338;1648541;16669
3337;1691929;17107
3336;1696739;17154
3335;1718916;17372
3334;1748383;17668
