# ALGORITHM_SETUP
# base_algorithm: ea
# algorithm: eap_4+4@0.05
# algorithm(class): aitoa.algorithms.EAWithPruning
# mu: 4
# lambda: 4
# cr: 0.05
# cr(inhex): 0x1.999999999999ap-5
# pruning: true
# restarts: false
# END_ALGORITHM_SETUP
# BEGIN_LOG
# fbest;consumedFEs;consumedTimeMS
2053;1;0
1990;2;0
1787;4;0
1753;12;0
1739;22;0
1738;35;0
1736;36;0
1733;43;0
1730;47;0
1728;63;0
1693;79;1
1662;93;1
1644;97;1
1596;115;1
1586;121;1
1581;139;1
1562;155;1
1526;167;1
1519;201;2
1511;225;2
1501;233;2
1497;318;2
1494;321;2
1493;377;3
1488;393;3
1484;446;3
1477;449;3
1476;469;4
1470;517;4
1466;535;4
1461;545;4
1460;646;5
1457;671;5
1455;774;6
1452;853;7
1447;870;7
1444;955;7
1439;1002;8
1407;1023;8
1403;1102;9
1393;1344;10
1387;1483;12
1383;1587;12
1367;1980;15
1366;2033;16
1364;2955;23
1359;3358;26
1344;3782;29
1339;4266;33
1337;4797;37
1334;4838;37
1333;5023;39
1327;5055;39
1324;5065;39
1311;5324;41
1310;5328;41
1309;5385;42
1306;5410;42
1301;5424;42
1288;5562;43
1285;6237;48
1281;6454;50
1280;7289;56
1271;7489;58
1259;7519;58
1258;7635;59
1249;8068;63
1246;10422;82
1243;10596;83
1240;11187;88
1238;12125;96
1234;13191;104
1232;13386;106
1231;14451;114
1230;15025;119
1229;15668;124
1220;16314;129
1218;16954;135
1217;17303;137
1214;17775;141
1208;17879;142
1203;18014;143
1200;18298;145
1197;21031;167
1192;21478;171
1189;23023;184
1187;24047;192
1185;27851;222
1184;32695;260
1183;33377;265
1178;34429;272
1176;41955;329
1175;44218;346
1173;45999;361
1172;46440;364
1171;47518;372
1170;47764;374
1167;49595;389
1166;51066;401
1163;51472;404
1162;52858;415
1161;58109;458
1159;66112;529
1158;70034;563
1157;70245;564
1156;72460;584
1155;104937;852
1152;108995;885
1145;109924;893
1137;148181;1255
1134;148190;1256
1130;159226;1358
1127;159977;1364
1124;162224;1381
1117;163627;1391
1116;169194;1445
1115;169623;1448
1114;199995;1701
1110;202930;1727
1103;203221;1730
1100;236837;2032
1099;237012;2033
1098;379406;3251
1096;386931;3313
1093;393320;3365
1092;395522;3382
1091;919781;7740
1090;1021062;8591
1088;1114723;9359
1087;1116173;9371
1084;1120537;9407
1082;1145757;9611
1081;1158252;9714
1080;1162122;9747
1077;1166230;9780
1075;1184641;9927
1074;1186127;9938
1072;1346146;11246
1071;1365749;11407
1070;1422717;11867
1069;1456238;12145
1067;1772746;14733
1066;1784548;14827
1065;3950804;32461
1064;3950806;32461
1063;4324861;35519
1062;4327304;35539
1061;4359756;35802
1060;5117943;41914
1059;13813209;90082
1057;14155238;91643
1056;15300271;96934
1054;15476834;97791
1052;15639268;98529
1051;15639279;98529
1050;15640372;98534
1049;15751772;99050
1048;16002828;100198
1047;23878070;153888
1046;23942120;154368
1045;24139265;155893
1044;24165762;156087
1043;24173418;156149
1042;24196133;156326
1041;24358861;157557
1040;26284287;172025
1037;26586170;174270
# END_OF_LOG
# BEGIN_SETUP
# SEARCH_SPACE: jssp:int[400]:yn4
# SEARCH_SPACE(class): aitoa.examples.jssp.JSSPSearchSpace
# NULLARY_OP: uniform
# NULLARY_OP(class): aitoa.examples.jssp.JSSPNullaryOperator
# UNARY_OP: nswap
# UNARY_OP(class): aitoa.examples.jssp.JSSPUnaryOperatorNSwap
# BINARY_OP: sequence
# BINARY_OP(class): aitoa.examples.jssp.JSSPBinaryOperatorSequence
# TERNARY_OP: null
# SOLUTION_SPACE: jssp:gantt:yn4
# SOLUTION_SPACE(class): aitoa.examples.jssp.JSSPSolutionSpace
# REPRESENTATION_MAPPING: jssp:int[]-to-Gantt
# REPRESENTATION_MAPPING(class): aitoa.examples.jssp.JSSPRepresentationMapping
# OBJECTIVE_FUNCTION: yn4
# OBJECTIVE_FUNCTION(class): aitoa.examples.jssp.JSSPMakespanObjectiveFunction
# MAX_FES: 9223372036854775807
# MAX_TIME: 180000
# GOAL_F: -Infinity
# RANDOM_SEED: 0xf2dc486d3363f3e4
# END_SETUP
# BEGIN_SYSTEM
# COMPUTER_MANUFACTURER: Dell Inc.
# COMPUTER_MODEL: Vostro 3480
# CPU_FAMILY: 6
# CPU_FREQUENCY_HZ: 1800000000
# CPU_ID: AFC1FBFF008006EB
# CPU_IDENTIFIER: Intel64 Family 6 Model 142 Stepping 11
# CPU_IS_64_BIT: true
# CPU_LOGICAL_CORES: 8
# CPU_MODEL: 142
# CPU_NAME: Intel(R) Core(TM) i7-8565U CPU @ 1.80GHz
# CPU_PHYSICAL_CORES: 4
# CPU_PHYSICAL_SLOTS: 1
# CPU_VENDOR: GenuineIntel
# GPU_NAME: Advanced Micro Devices, Inc. [AMD/ATI] Jet PRO [Radeon R5 M230 / R7 M260DX / Radeon 520 Mobile]
# GPU_PCI_DEVICE: Jet PRO [Radeon R5 M230 / R7 M260DX / Radeon 520 Mobile]
# GPU_PCI_DEVICE_ID: 6665
# GPU_PCI_VENDOR: Advanced Micro Devices, Inc. [AMD/ATI]
# GPU_PCI_VENDOR_ID: 1002
# JAVA_SPECIFICATION_NAME: Java Platform API Specification
# JAVA_SPECIFICATION_VENDOR: Oracle Corporation
# JAVA_SPECIFICATION_VERSION: 13
# JAVA_VENDOR: Private Build
# JAVA_VERSION: 13
# JAVA_VM_NAME: OpenJDK 64-Bit Server VM
# JAVA_VM_VENDOR: Private Build
# JAVA_VM_VERSION: 13+33-Ubuntu-1
# MAINBOARD_MANUFACTURER: Dell Inc.
# MAINBOARD_MODEL: 0KTK89
# MAINBOARD_VERSION: A00
# MEMORY_PAGE_SIZE: 4096
# MEMORY_TOTAL_BYTES: 16662450176
# NET_DOMAIN_NAME: laptop
# NET_HOST_NAME: laptop
# OS_BITS: 64
# OS_BUILD: 5.3.0-40-generic
# OS_CODENAME: Eoan Ermine
# OS_FAMILY: Ubuntu
# OS_MANUFACTURER: GNU/Linux
# OS_VERSION: 19.10
# PROCESS_COMMAND_LINE: java -classpath ./binaries/aitoa-code-0.8.50-full.jar aitoa.examples.jssp.JSSPExperiment ./results 7
# PROCESS_ID: 2789
# SESSION_START_DATE_TIME: 2020-04-07T11:14:48.862903Z
# version.aitoa: 0.8.50
# version.aitoa.java.build: 13
# version.aitoa.java.source: 1.8
# version.aitoa.junit: 4.13
# version.aitoa.oshi: 4.4.2
# version.aitoa.slf4j: 1.7.30
# END_SYSTEM
# BEGIN_STATE
# CONSUMED_FES: 27346105
# LAST_IMPROVEMENT_FE: 26586170
# CONSUMED_TIME: 180000
# LAST_IMPROVEMENT_TIME: 174270
# BEST_F: 1037
# END_STATE
# BEST_X
