
# ALGORITHM_SETUP
# base_algorithm: sa
# algorithm: sa_exp_20_0.0000002
# algorithm(class): aitoa.algorithms.SimulatedAnnealing
# temperatureSchedule: exp_20_0.0000002
# temperatureSchedule(class): aitoa.algorithms.TemperatureSchedule.Exponential
# startTemperature: 20
# startTemperature(inhex): 0x1.4p4
# epsilon: 2.0E-7
# epsilon(inhex): 0x1.ad7f29abcaf48p-23
# END_ALGORITHM_SETUP

# BEGIN_LOG
# fbest;consumedFEs;consumedTimeMS
1981;1;0
1934;5;0
1907;6;0
1679;17;1
1660;18;1
1649;24;1
1647;29;1
1563;32;1
1553;35;1
1550;36;1
1515;38;1
1498;43;1
1489;45;1
1449;52;1
1428;75;1
1427;78;1
1393;84;1
1375;92;1
1368;135;1
1349;142;1
1324;145;1
1322;147;1
1281;227;1
1262;235;1
1253;239;1
1251;275;1
1249;547;2
1248;551;2
1234;554;2
1205;589;2
1202;2288;7
1200;2389;7
1183;2414;7
1161;2415;7
1124;5969;17
1098;155446;422
1097;456307;1259
1093;456319;1259
1084;699697;1933
1078;1097815;3031
1072;1164998;3218
1067;1165071;3218
1066;1630047;4486
1059;2044302;5619
1052;2752933;7555
1051;2752966;7555
1046;3109655;8533
1042;3109676;8533
1041;3971615;10896
1037;3995689;10962
1036;4190102;11492
1023;4190114;11492
1020;4190243;11493
1019;4407024;12084
1016;5096380;13968
1009;5096430;13969
1007;5096629;13969
1002;5665784;15525
1001;5918599;16215
998;5918629;16215
997;6739735;18462
996;7022519;19232
993;7022610;19232
985;7022782;19232
984;7023408;19234
982;7023409;19234
981;8661561;23714
979;8661675;23714
975;8684971;23777
968;8707565;23838
963;9115639;24951
956;9115683;24951
952;9115710;24951
950;9115765;24951
948;11577235;31675
946;11597223;31729
# END_OF_LOG

# BEGIN_SETUP
# SEARCH_SPACE: jssp:int[150]:la24:aitoa.examples.jssp.JSSPSearchSpace
# SEARCH_SPACE(class): aitoa.examples.jssp.JSSPSearchSpace
# NULLARY_OP: uniform
# NULLARY_OP(class): aitoa.examples.jssp.JSSPNullaryOperator
# UNARY_OP: 1swap
# UNARY_OP(class): aitoa.examples.jssp.JSSPUnaryOperator1Swap
# BINARY_OP: null
# TERNARY_OP: null
# SOLUTION_SPACE: jssp:gantt:la24:aitoa.examples.jssp.JSSPSolutionSpace
# SOLUTION_SPACE(class): aitoa.examples.jssp.JSSPSolutionSpace
# REPRESENTATION_MAPPING: jssp:int[]-to-Gantt:aitoa.examples.jssp.JSSPRepresentationMapping
# REPRESENTATION_MAPPING(class): aitoa.examples.jssp.JSSPRepresentationMapping
# OBJECTIVE_FUNCTION: la24
# OBJECTIVE_FUNCTION(class): aitoa.examples.jssp.JSSPMakespanObjectiveFunction
# MAX_FES: 9223372036854775807
# MAX_TIME: 180000
# GOAL_F: -Infinity
# RANDOM_SEED: 0x4853b61319c6979b
# END_SETUP
# BEGIN_SYSTEM
# COMPUTER_MANUFACTURER: Dell Inc.
# COMPUTER_MODEL: Vostro 3480
# CPU_FAMILY: 6
# CPU_FREQUENCY_HZ: 1800000000
# CPU_ID: AFC1FBFF008006EB
# CPU_IDENTIFIER: Intel64 Family 6 Model 142 Stepping 11
# CPU_IS_64_BIT: true
# CPU_LOGICAL_CORES: 8
# CPU_MODEL: 142
# CPU_NAME: Intel(R) Core(TM) i7-8565U CPU @ 1.80GHz
# CPU_PHYSICAL_CORES: 4
# CPU_PHYSICAL_SLOTS: 1
# CPU_VENDOR: GenuineIntel
# GPU_NAME: Advanced Micro Devices, Inc. [AMD/ATI] Jet PRO [Radeon R5 M230 / R7 M260DX / Radeon 520 Mobile]
# GPU_PCI_DEVICE_ID: 6665
# GPU_PCI_VENDOR_ID: 1002
# JAVA_SPECIFICATION_NAME: Java Platform API Specification
# JAVA_SPECIFICATION_VENDOR: Oracle Corporation
# JAVA_SPECIFICATION_VERSION: 13
# JAVA_VENDOR: Private Build
# JAVA_VERSION: 13
# JAVA_VM_NAME: OpenJDK 64-Bit Server VM
# JAVA_VM_VENDOR: Private Build
# JAVA_VM_VERSION: 13+33-Ubuntu-1
# MAINBOARD_MANUFACTURER: Dell Inc.
# MAINBOARD_MODEL: 0KTK89
# MAINBOARD_VERSION: A00
# MEMORY_PAGE_SIZE: 4096
# MEMORY_TOTAL_BYTES: 16662446080
# NET_DOMAIN_NAME: laptop
# NET_HOST_NAME: laptop
# OS_BITS: 64
# OS_BUILD: 5.3.0-29-generic
# OS_CODENAME: Eoan Ermine
# OS_FAMILY: Ubuntu
# OS_MANUFACTURER: GNU/Linux
# OS_VERSION: 19.10
# PROCESS_COMMAND_LINE: java -classpath ./binaries/aitoa-code-0.8.29-full.jar aitoa.examples.jssp.JSSPExperiment ./results 7
# PROCESS_ID: 11015
# SESSION_START_DATE_TIME: 2020-02-16T13:06:23.806423Z
# version.aitoa: 0.8.29
# version.aitoa.java.build: 13
# version.aitoa.java.source: 1.8
# version.aitoa.junit: 4.13
# version.aitoa.oshi: 4.3.0
# version.aitoa.slf4j: 1.7.30
# END_SYSTEM

# BEGIN_STATE
# CONSUMED_FES: 65944702
# LAST_IMPROVEMENT_FE: 11597223
# CONSUMED_TIME: 180001
# LAST_IMPROVEMENT_TIME: 31729
# BEST_F: 946
# END_STATE
# BEST_X
new int[]{ 1, 11, 7, 1, 0, 13, 2, 0, 12, 4, 3, 0, 2, 6, 3, 14, 14, 9, 13, 1, 8, 5, 6, 13, 7, 12, 14, 11, 8, 13, 1, 9, 3, 5, 12, 4, 13, 0, 13, 9, 13, 3, 2, 12, 7, 2, 10, 2, 7, 3, 10, 1, 6, 14, 11, 1, 8, 14, 5, 8, 3, 1, 11, 9, 6, 6, 4, 14, 6, 2, 0, 11, 8, 13, 9, 12, 14, 12, 10, 7, 9, 13, 4, 11, 5, 6, 6, 1, 7, 2, 14, 4, 9, 10, 0, 8, 4, 11, 10, 5, 12, 11, 9, 14, 5, 0, 0, 10, 4, 3, 9, 12, 8, 3, 0, 14, 2, 1, 7, 12, 2, 7, 9, 11, 11, 5, 8, 10, 8, 4, 3, 7, 12, 10, 1, 2, 6, 4, 3, 13, 5, 10, 4, 8, 0, 5, 5, 6, 10, 7}
# END_BEST_X
# BEST_Y
new aitoa.examples.jssp.JSSPCandidateSolution(new int[][] {
{ 11, 0, 68, 0, 83, 155, 8, 155, 194, 1, 194, 217, 9, 220, 225, 5, 225, 274, 2, 274, 329, 14, 355, 402, 3, 417, 508, 13, 508, 603, 6, 603, 678, 12, 678, 758, 10, 758, 782, 4, 782, 825, 7, 825, 897},
{ 2, 0, 50, 3, 50, 118, 12, 162, 222, 1, 222, 307, 6, 307, 397, 13, 397, 420, 9, 420, 508, 4, 508, 578, 11, 594, 612, 14, 612, 640, 5, 657, 726, 0, 772, 798, 7, 798, 807, 10, 817, 866, 8, 866, 946},
