
# ALGORITHM_SETUP
# base_algorithm: sa
# algorithm: sa_exp_20_0.0000002
# algorithm(class): aitoa.algorithms.SimulatedAnnealing
# temperatureSchedule: exp_20_0.0000002
# temperatureSchedule(class): aitoa.algorithms.TemperatureSchedule.Exponential
# startTemperature: 20
# startTemperature(inhex): 0x1.4p4
# epsilon: 2.0E-7
# epsilon(inhex): 0x1.ad7f29abcaf48p-23
# END_ALGORITHM_SETUP

# BEGIN_LOG
# fbest;consumedFEs;consumedTimeMS
6775;1;0
6592;2;0
6461;6;0
6440;7;0
6425;10;0
6373;17;0
6340;18;0
6329;19;0
6301;20;1
6236;24;1
6217;29;1
6110;36;1
6026;38;1
5978;39;1
5966;41;1
5944;42;1
5904;56;1
5822;59;1
5753;63;1
5701;65;1
5634;67;1
5575;138;1
5540;139;1
5489;146;2
5472;148;2
5405;149;2
5403;160;2
5306;168;2
5274;176;2
5263;179;2
5243;206;2
5234;215;2
5229;226;2
5228;229;2
5225;250;2
5189;251;2
5148;252;2
5090;256;2
5077;318;3
5067;320;3
5033;327;3
5023;383;4
4999;405;4
4989;430;4
4972;441;4
4949;515;5
4917;519;5
4902;520;5
4896;550;5
4888;553;5
4839;557;5
4813;560;5
4762;603;5
4755;614;5
4754;682;6
4744;697;6
4721;700;6
4720;2765;23
4701;4090;34
4696;4092;34
4678;4303;36
4673;4304;36
4670;4318;36
4669;4326;36
4667;4331;36
4638;4332;36
4637;4347;36
4614;5321;44
4584;5323;45
4562;5327;45
4545;5420;45
4537;5435;45
4536;5445;46
4526;10317;86
4521;10397;87
4506;10404;87
4503;10769;90
4494;10771;90
4482;10780;90
4462;17092;142
4458;17110;142
4421;45408;380
4413;45414;380
4405;64699;543
4387;64703;543
4365;68735;576
4363;191739;1622
4336;191745;1622
4321;361288;3057
4315;361303;3057
4310;361305;3057
4297;361404;3058
4289;637824;5361
4248;1013106;8481
4220;1283260;10722
4216;1283309;10722
4213;1283315;10722
4195;1789973;14925
4185;1789975;14925
4184;1790322;14928
4179;2235010;18621
4166;2235048;18621
4165;2236979;18638
4162;2237049;18638
4156;2237186;18639
4152;2237191;18639
4142;2500619;20825
4134;2500625;20825
4133;2623956;21849
4130;2624159;21850
4122;3103494;25829
4113;3103600;25829
4095;3103607;25829
4094;3104191;25834
4088;3336712;27764
4086;3337833;27774
4080;3337893;27774
4079;3337900;27774
4078;3338820;27782
4072;3382111;28141
4066;3383975;28156
4065;3384014;28157
4063;3384632;28162
4061;3384715;28163
4048;3385375;28168
4045;3385578;28170
4041;3470198;28872
4039;3470484;28875
4029;3740785;31118
4026;3740869;31119
4012;3740989;31120
3994;3741002;31120
3992;3741005;31120
3975;3753433;31223
3971;3753472;31223
3963;3753512;31224
3959;3753534;31224
3951;3965579;33015
3947;4347065;36293
3943;4558945;38060
3942;4558982;38060
3933;4558984;38060
3932;4563955;38102
3924;4563957;38102
3913;4563959;38102
3908;4841380;40408
3905;4841486;40408
3901;4841538;40409
3900;4841572;40409
3891;4845347;40441
3882;4845406;40441
3879;4845797;40444
3878;4846056;40446
3876;5444351;44166
3872;5444361;44166
3864;5444419;44166
3861;5444425;44166
3860;5451059;44195
3854;5451099;44196
3841;5451238;44196
3805;5451311;44197
3804;5451454;44197
3803;5605967;44880
3801;5608623;44891
3796;5609799;44897
3791;5609908;44897
3788;5609918;44897
3782;5609965;44897
3770;5667498;45151
3768;5767260;45592
3767;6109775;47109
3766;6110234;47111
3758;6110411;47112
3757;6113785;47127
3754;6113835;47127
3748;6113859;47127
3741;6113915;47127
3737;6113997;47128
3732;6114161;47128
3731;6114409;47130
3730;6114410;47130
3723;6114621;47130
3719;6121671;47162
3716;6222811;47608
3705;6223656;47612
3690;6224388;47615
3679;6224549;47616
3673;6224610;47616
3668;6225163;47618
3656;6225284;47619
3645;6510199;48877
3644;6510255;48877
3642;6510281;48877
3635;6510310;48877
3629;6510410;48878
3628;6900907;50605
3627;7420799;52901
3622;7420833;52901
3616;7420838;52901
3613;7517531;53331
3603;7518031;53333
3602;7518691;53336
3601;7518993;53338
3599;7519039;53338
3594;7519140;53338
3586;7519147;53338
3581;7519538;53340
3580;7519671;53341
3577;7520137;53343
3569;7520214;53343
3566;7659617;53959
3560;7659643;53959
3556;7674527;54024
3553;7675058;54027
3549;7675232;54027
3548;7683404;54063
3545;7683421;54063
3539;7683832;54065
3532;7683925;54066
3527;7684287;54067
3526;7684654;54069
3523;7684664;54069
3522;8255531;56599
3519;8255535;56599
3514;8262180;56629
3512;8269603;56661
3503;8269663;56661
3498;8269689;56662
3496;8269863;56662
3495;8270251;56664
3494;8271071;56668
3493;8273800;56680
3491;8274091;56681
3489;8286586;56736
3488;8296077;56778
3484;8296304;56779
3482;8297950;56786
3480;8298072;56787
3474;8299066;56791
3472;8478909;57584
3469;8957196;59694
3468;8957345;59695
3466;8957421;59695
3465;8957868;59697
3464;8958016;59698
3463;8958898;59702
3461;8959566;59705
3460;8959626;59705
3458;8959662;59705
3454;9118878;60409
3450;9120842;60417
3448;9121087;60418
3447;9121115;60418
3443;9121417;60420
3435;9122000;60422
3429;9122022;60422
3424;9547076;62303
3419;9547097;62303
3418;9547135;62304
3417;9547364;62305
3411;9560103;62361
3410;9570444;62406
3406;9571666;62412
3404;9768791;63283
3403;9770048;63288
3401;9770145;63289
3394;9770177;63289
3387;9770385;63290
3386;9773961;63306
3384;9776841;63318
3382;9777152;63320
3381;9791757;63384
3380;9792714;63388
3378;9792723;63388
3376;9820758;63512
3375;9820815;63512
3374;9820818;63512
3373;9821857;63517
3369;9822336;63519
3368;9823361;63524
3366;9823363;63524
3362;9825735;63534
3359;9954062;64104
3354;9954311;64105
3353;10394314;66058
3351;10394764;66060
3349;10395794;66065
3346;10402545;66094
3340;10404543;66103
3339;10407558;66116
3337;10413278;66142
3330;10419693;66171
3329;10427915;66209
3327;10429439;66216
3324;10513723;66588
3319;10574270;66856
3317;10575128;66859
3316;10575348;66860
3314;10575446;66861
3311;10576214;66864
3310;10577081;66868
3306;10578742;66876
3304;10578794;66876
3302;10578830;66876
3301;10579875;66881
3300;10580092;66881
3295;11083377;69104
3294;11087007;69120
3291;11087042;69121
3288;11087076;69121
3287;11087522;69123
3286;11093684;69150
3285;11094621;69154
3283;11094672;69154
3282;11094766;69155
3281;11094952;69156
3279;11096276;69162
3276;11097363;69166
3272;11103048;69191
3270;11215069;69688
3267;11218245;69702
3266;11253233;69857
3263;11253439;69858
3261;11254288;69861
3257;11254683;69863
3255;11256222;69870
3254;11256626;69872
3249;11256686;69872
3248;11256836;69873
