
# ALGORITHM_SETUP
# base_algorithm: sa
# algorithm: sa_exp_20_0.0000004
# algorithm(class): aitoa.algorithms.SimulatedAnnealing
# temperatureSchedule: exp_20_0.0000004
# temperatureSchedule(class): aitoa.algorithms.TemperatureSchedule.Exponential
# startTemperature: 20
# startTemperature(inhex): 0x1.4p4
# epsilon: 4.0E-7
# epsilon(inhex): 0x1.ad7f29abcaf48p-22
# END_ALGORITHM_SETUP

# BEGIN_LOG
# fbest;consumedFEs;consumedTimeMS
1976;1;0
1970;2;0
1846;4;0
1735;8;0
1644;13;0
1631;16;0
1622;17;0
1581;23;1
1510;27;1
1485;29;1
1463;32;1
1451;50;1
1421;57;1
1411;59;1
1361;154;1
1351;170;1
1350;236;1
1341;237;1
1337;282;1
1326;290;1
1290;328;1
1269;452;2
1266;718;2
1255;724;2
1250;733;2
1246;753;2
1225;756;2
1217;794;3
1210;1071;3
1207;2497;7
1204;2499;7
1188;2593;7
1153;7118;20
1146;7120;20
1145;7133;20
1144;7136;20
1129;20071;55
1120;75924;206
1077;182373;493
1067;428479;1167
1063;428515;1167
1054;1231567;3370
1040;1565254;4275
1032;1695719;4628
1023;2059204;5608
1008;2059309;5608
1006;2059380;5609
1003;3220148;8742
1002;3387925;9193
993;3449838;9361
992;3449863;9361
988;3451869;9366
976;3831657;10392
973;4645581;12589
972;5340068;14464
971;5340525;14465
963;5399458;14625
962;5405441;14641
961;5405545;14642
959;5709967;15467
956;5710455;15468
955;5726404;15512
954;6520321;17659
952;6521138;17662
951;7879429;21338
950;7880012;21339
948;7882831;21347
947;7886160;21356
944;7886460;21357
940;7910180;21421
935;7910486;21422
# END_OF_LOG

# BEGIN_SETUP
# SEARCH_SPACE: jssp:int[150]:la24:aitoa.examples.jssp.JSSPSearchSpace
# SEARCH_SPACE(class): aitoa.examples.jssp.JSSPSearchSpace
# NULLARY_OP: uniform
# NULLARY_OP(class): aitoa.examples.jssp.JSSPNullaryOperator
# UNARY_OP: 1swap
# UNARY_OP(class): aitoa.examples.jssp.JSSPUnaryOperator1Swap
# BINARY_OP: null
# TERNARY_OP: null
# SOLUTION_SPACE: jssp:gantt:la24:aitoa.examples.jssp.JSSPSolutionSpace
# SOLUTION_SPACE(class): aitoa.examples.jssp.JSSPSolutionSpace
# REPRESENTATION_MAPPING: jssp:int[]-to-Gantt:aitoa.examples.jssp.JSSPRepresentationMapping
# REPRESENTATION_MAPPING(class): aitoa.examples.jssp.JSSPRepresentationMapping
# OBJECTIVE_FUNCTION: la24
# OBJECTIVE_FUNCTION(class): aitoa.examples.jssp.JSSPMakespanObjectiveFunction
# MAX_FES: 9223372036854775807
# MAX_TIME: 180000
# GOAL_F: -Infinity
# RANDOM_SEED: 0x342a1bca030631eb
# END_SETUP
# BEGIN_SYSTEM
# COMPUTER_MANUFACTURER: Dell Inc.
# COMPUTER_MODEL: Vostro 3480
# CPU_FAMILY: 6
# CPU_FREQUENCY_HZ: 1800000000
# CPU_ID: AFC1FBFF008006EB
# CPU_IDENTIFIER: Intel64 Family 6 Model 142 Stepping 11
# CPU_IS_64_BIT: true
# CPU_LOGICAL_CORES: 8
# CPU_MODEL: 142
# CPU_NAME: Intel(R) Core(TM) i7-8565U CPU @ 1.80GHz
# CPU_PHYSICAL_CORES: 4
# CPU_PHYSICAL_SLOTS: 1
# CPU_VENDOR: GenuineIntel
# GPU_NAME: Advanced Micro Devices, Inc. [AMD/ATI] Jet PRO [Radeon R5 M230 / R7 M260DX / Radeon 520 Mobile]
# GPU_PCI_DEVICE_ID: 6665
# GPU_PCI_VENDOR_ID: 1002
# JAVA_SPECIFICATION_NAME: Java Platform API Specification
# JAVA_SPECIFICATION_VENDOR: Oracle Corporation
# JAVA_SPECIFICATION_VERSION: 13
# JAVA_VENDOR: Private Build
# JAVA_VERSION: 13
# JAVA_VM_NAME: OpenJDK 64-Bit Server VM
# JAVA_VM_VENDOR: Private Build
# JAVA_VM_VERSION: 13+33-Ubuntu-1
# MAINBOARD_MANUFACTURER: Dell Inc.
# MAINBOARD_MODEL: 0KTK89
# MAINBOARD_VERSION: A00
# MEMORY_PAGE_SIZE: 4096
# MEMORY_TOTAL_BYTES: 16662446080
# NET_DOMAIN_NAME: laptop
# NET_HOST_NAME: laptop
# OS_BITS: 64
# OS_BUILD: 5.3.0-29-generic
# OS_CODENAME: Eoan Ermine
# OS_FAMILY: Ubuntu
# OS_MANUFACTURER: GNU/Linux
# OS_VERSION: 19.10
# PROCESS_COMMAND_LINE: java -classpath ./binaries/aitoa-code-0.8.29-full.jar aitoa.examples.jssp.JSSPExperiment ./results 7
# PROCESS_ID: 11015
# SESSION_START_DATE_TIME: 2020-02-16T13:06:23.806423Z
# version.aitoa: 0.8.29
# version.aitoa.java.build: 13
# version.aitoa.java.source: 1.8
# version.aitoa.junit: 4.13
# version.aitoa.oshi: 4.3.0
# version.aitoa.slf4j: 1.7.30
# END_SYSTEM

# BEGIN_STATE
# CONSUMED_FES: 66445204
# LAST_IMPROVEMENT_FE: 7910486
# CONSUMED_TIME: 180000
# LAST_IMPROVEMENT_TIME: 21422
# BEST_F: 935
# END_STATE
# BEST_X
new int[]{ 13, 4, 14, 7, 11, 14, 12, 13, 0, 7, 0, 2, 5, 6, 12, 8, 8, 14, 3, 6, 2, 3, 1, 5, 12, 1, 13, 0, 1, 2, 13, 9, 7, 11, 13, 13, 5, 4, 13, 12, 8, 2, 14, 1, 1, 3, 7, 12, 0, 9, 3, 13, 5, 6, 4, 2, 9, 2, 12, 8, 6, 10, 8, 10, 1, 4, 3, 8, 14, 5, 0, 10, 7, 1, 12, 11, 14, 13, 4, 9, 14, 11, 2, 6, 4, 14, 4, 0, 10, 11, 3, 10, 9, 0, 5, 9, 8, 3, 7, 12, 1, 6, 4, 3, 8, 10, 11, 14, 7, 11, 6, 8, 0, 11, 7, 0, 14, 9, 4, 2, 9, 3, 5, 11, 1, 12, 1, 10, 5, 9, 9, 8, 10, 0, 6, 6, 2, 7, 4, 3, 10, 12, 2, 13, 7, 5, 5, 10, 11, 6}
# END_BEST_X
# BEST_Y
new aitoa.examples.jssp.JSSPCandidateSolution(new int[][] {
